fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-11-28T12:23:23,2025-11-28 12:23:23,Sin sesión,,,,18,HIRIPRO-03,,28.75,4.125,3.0,0.0,0.0,1.0,1.0,22.9,50.7,18.0,30.0,29.0,28.91,44.83,19.0,0.0,0.0,0.0,0.0,"30458336, 30458337, 30458338, 30458339, 30458340, 30458341, 30458342, 30458343, 30458344, 30458345, 30458346, 30458347, 30458348, 30458349, 30458350, 30458351, 30458352, 30458353, 30458354"
2025-11-11T13:20:53,2025-11-11 13:20:53,Sin sesión,,,,18,HIRIPRO-03,,24.5,4.062,3.0,0.0,0.0,1.0,1.0,19.5,46.2,4.0,8.0,8.0,23.41,43.17,11.0,0.0,0.0,0.0,0.0,"19837554, 19837555, 19837556, 19837557, 19837558, 19837559, 19837560, 19837561, 19837562, 19837563, 19837564, 19837565, 19837566, 19837567, 19837568, 19837569, 19837570, 19837571, 19837572"
2025-11-11T13:20:51,2025-11-11 13:20:51,Sin sesión,,,,18,HIRIPRO-03,,24.5,4.062,3.0,0.0,0.0,1.0,1.0,19.5,46.2,5.0,9.0,9.0,23.37,43.61,11.0,0.0,0.0,0.0,0.0,"19837535, 19837536, 19837537, 19837538, 19837539, 19837540, 19837541, 19837542, 19837543, 19837544, 19837545, 19837546, 19837547, 19837548, 19837549, 19837550, 19837551, 19837552, 19837553"
2025-11-11T13:20:48,2025-11-11 13:20:48,Sin sesión,,,,18,HIRIPRO-03,,24.5,4.041,3.0,0.0,0.0,1.0,1.0,19.5,46.3,5.0,9.0,9.0,23.33,44.07,11.0,0.0,0.0,0.0,0.0,"19837479, 19837480, 19837481, 19837482, 19837483, 19837484, 19837485, 19837486, 19837487, 19837488, 19837489, 19837490, 19837491, 19837492, 19837493, 19837494, 19837495, 19837496, 19837497"
2025-11-11T13:20:46,2025-11-11 13:20:46,Sin sesión,,,,18,HIRIPRO-03,,24.5,3.991,3.0,0.0,0.0,8.0,1.0,19.5,46.2,5.0,9.0,9.0,23.33,44.07,11.0,0.0,0.0,0.0,0.0,"19837423, 19837424, 19837425, 19837426, 19837427, 19837428, 19837429, 19837430, 19837431, 19837432, 19837433, 19837434, 19837435, 19837436, 19837437, 19837438, 19837439, 19837440, 19837441"
2025-11-11T13:20:43,2025-11-11 13:20:43,Sin sesión,,,,18,HIRIPRO-03,,24.25,3.92,3.0,0.0,0.0,7.0,1.0,19.4,46.4,4.0,7.0,7.0,23.32,43.86,11.0,0.0,0.0,0.0,0.0,"19837367, 19837368, 19837369, 19837370, 19837371, 19837372, 19837373, 19837374, 19837375, 19837376, 19837377, 19837378, 19837379, 19837380, 19837381, 19837382, 19837383, 19837384, 19837385"
2025-11-11T13:20:40,2025-11-11 13:20:40,Sin sesión,,,,18,HIRIPRO-03,,24.25,3.92,3.0,0.0,0.0,6.0,1.0,19.4,46.4,4.0,7.0,7.0,23.29,42.62,11.0,0.0,0.0,0.0,0.0,"19837311, 19837312, 19837313, 19837314, 19837315, 19837316, 19837317, 19837318, 19837319, 19837320, 19837321, 19837322, 19837323, 19837324, 19837325, 19837326, 19837327, 19837328, 19837329"
2025-11-11T13:20:37,2025-11-11 13:20:37,Sin sesión,,,,18,HIRIPRO-03,,24.25,4.049,3.0,0.0,0.0,5.0,1.0,19.4,46.5,3.0,6.0,6.0,23.25,42.42,11.0,0.0,0.0,0.0,0.0,"19837255, 19837256, 19837257, 19837258, 19837259, 19837260, 19837261, 19837262, 19837263, 19837264, 19837265, 19837266, 19837267, 19837268, 19837269, 19837270, 19837271, 19837272, 19837273"
2025-11-11T13:20:34,2025-11-11 13:20:34,Sin sesión,,,,18,HIRIPRO-03,,24.25,4.053,3.0,0.0,0.0,4.0,1.0,19.4,46.4,3.0,6.0,6.0,23.24,42.43,11.0,0.0,0.0,0.0,0.0,"19837199, 19837200, 19837201, 19837202, 19837203, 19837204, 19837205, 19837206, 19837207, 19837208, 19837209, 19837210, 19837211, 19837212, 19837213, 19837214, 19837215, 19837216, 19837217"
2025-11-11T13:20:31,2025-11-11 13:20:31,Sin sesión,,,,18,HIRIPRO-03,,24.25,4.062,3.0,0.0,0.0,3.0,1.0,19.4,46.4,2.0,6.0,6.0,23.21,42.41,11.0,0.0,0.0,0.0,0.0,"19837143, 19837144, 19837145, 19837146, 19837147, 19837148, 19837149, 19837150, 19837151, 19837152, 19837153, 19837154, 19837155, 19837156, 19837157, 19837158, 19837159, 19837160, 19837161"
