fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-12-28T08:15:42,2025-12-28 09:18:52,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,15.25,7.92,1.09,16.98,63.72,25.0
2025-12-28T08:45:40,2025-12-28 09:18:56,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.0,7.91,1.09,19.08,55.25,25.0
2025-12-28T09:15:39,2025-12-28 09:19:00,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,19.0,7.91,1.09,20.58,50.68,25.0
2025-12-28T09:48:22,2025-12-28 21:18:05,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,21.25,7.91,1.08,22.63,44.61,31.0
2025-12-28T10:18:24,2025-12-28 21:18:10,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,25.75,7.9,1.08,27.66,35.65,31.0
2025-12-28T10:48:36,2025-12-28 21:18:14,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,33.0,7.95,1.1,29.69,31.65,31.0
2025-12-28T11:18:38,2025-12-28 21:18:19,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,36.0,7.95,1.09,31.73,31.77,31.0
2025-12-28T11:48:36,2025-12-28 21:18:23,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,37.5,7.96,1.1,31.38,31.91,31.0
2025-12-28T12:18:32,2025-12-28 21:18:28,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,37.25,7.96,1.1,30.81,34.06,31.0
2025-12-28T12:48:25,2025-12-28 21:18:32,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,36.25,7.96,1.09,31.86,35.18,31.0
2025-12-28T13:18:20,2025-12-28 21:18:37,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,35.0,7.95,1.1,29.74,35.51,31.0
2025-12-28T13:48:14,2025-12-28 21:18:42,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,34.0,7.97,1.1,30.22,32.7,31.0
2025-12-28T14:18:10,2025-12-28 21:18:46,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,33.75,7.94,1.1,30.16,34.48,31.0
2025-12-28T14:48:06,2025-12-28 21:18:51,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,34.25,7.97,1.1,30.78,34.41,31.0
2025-12-28T15:18:03,2025-12-28 21:18:55,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,35.25,7.97,1.09,30.94,33.91,31.0
2025-12-28T15:48:01,2025-12-28 21:19:00,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,36.25,7.98,1.1,32.74,33.62,31.0
2025-12-28T16:17:58,2025-12-28 21:19:04,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,37.5,7.98,1.1,34.22,30.92,31.0
2025-12-28T16:47:56,2025-12-28 21:19:09,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,38.5,7.96,1.1,34.42,29.4,31.0
2025-12-28T17:17:51,2025-12-28 21:19:13,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,38.75,7.97,1.1,34.61,31.91,31.0
2025-12-28T17:47:47,2025-12-28 21:19:17,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,39.0,7.98,1.1,34.36,33.39,31.0
2025-12-28T18:17:44,2025-12-28 21:19:22,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,38.75,7.98,1.1,33.5,32.08,31.0
2025-12-28T18:47:38,2025-12-28 21:19:26,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,38.5,7.98,1.1,32.56,32.91,31.0
2025-12-28T19:17:33,2025-12-28 21:19:31,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,38.0,7.97,1.1,31.44,33.07,31.0
2025-12-28T19:47:27,2025-12-28 21:19:36,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,37.0,7.96,1.1,30.85,35.49,31.0
2025-12-28T20:17:20,2025-12-28 21:19:41,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,35.0,7.96,1.1,28.66,38.52,31.0
2025-12-28T20:47:08,2025-12-28 21:19:45,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,30.5,7.95,1.1,24.83,46.69,31.0
2025-12-28T21:16:55,2025-12-28 21:19:50,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,26.5,7.94,1.1,23.52,48.48,31.0
2025-12-28T21:49:01,2025-12-29 09:18:07,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,25.0,7.95,1.09,23.54,46.29,31.0
2025-12-28T22:18:54,2025-12-29 09:18:12,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,24.25,7.94,1.09,23.13,44.23,31.0
2025-12-28T22:48:49,2025-12-29 09:18:17,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,23.75,7.92,1.09,23.65,45.17,31.0
