fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (uS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2000-01-01T00:12:52,2025-10-25 07:42:07,Sin sesión,,,,13,AGUA-01,,17.12,16.0,12.11,1629.0,9.06,23.0
2000-01-01T00:14:36,2025-11-05 05:10:49,Sin sesión,,,,13,AGUA-01,,0.0,15.75,12.11,0.0,0.0,24.0
2000-01-01T00:15:39,2025-11-01 20:07:39,Sin sesión,,,,13,AGUA-01,,20.75,30.5,12.3,1756.0,9.08,23.0
2000-01-01T00:36:17,2025-10-30 15:25:46,Sin sesión,,,,13,AGUA-01,,21.38,36.0,12.25,1790.0,8.31,26.0
2000-01-01T00:47:33,2025-10-30 16:26:34,Sin sesión,,,,13,AGUA-01,,21.31,36.25,12.27,1776.0,8.57,24.0
2000-01-01T00:57:03,2025-10-30 08:19:17,Sin sesión,,,,13,AGUA-01,,0.0,23.25,12.17,0.0,0.0,25.0
2000-01-01T00:58:29,2025-10-30 17:27:24,Sin sesión,,,,13,AGUA-01,,21.5,36.75,12.3,1789.0,8.68,24.0
2000-01-01T01:07:22,2025-10-26 06:00:32,Sin sesión,,,,13,AGUA-01,,17.81,15.5,12.17,1655.0,8.95,23.0
2000-01-01T01:10:21,2025-10-30 18:28:11,Sin sesión,,,,13,AGUA-01,,21.19,36.0,12.24,1838.0,8.79,25.0
2000-01-01T01:13:02,2025-11-01 07:56:57,Sin sesión,,,,13,AGUA-01,,0.0,18.75,12.01,0.0,0.0,23.0
2000-01-01T01:13:08,2025-10-30 00:13:05,Sin sesión,,,,13,AGUA-01,,0.0,24.5,12.19,0.0,0.0,26.0
2000-01-01T01:13:29,2025-10-28 07:40:19,Sin sesión,,,,13,AGUA-01,,17.75,16.75,12.08,1647.0,8.78,23.0
2000-01-01T01:13:41,2025-10-31 07:37:31,Sin sesión,,,,13,AGUA-01,,0.0,17.25,12.15,0.0,0.0,25.0
2000-01-01T01:13:47,2025-11-02 08:16:20,Sin sesión,,,,13,AGUA-01,,0.0,22.5,12.16,0.0,0.0,22.0
2000-01-01T01:14:07,2025-10-25 08:43:34,Sin sesión,,,,13,AGUA-01,,0.0,23.75,12.15,0.0,0.0,24.0
2000-01-01T01:15:26,2025-11-05 06:11:38,Sin sesión,,,,13,AGUA-01,,0.0,15.0,12.1,0.0,0.0,25.0
2000-01-01T01:21:37,2025-10-30 19:28:53,Sin sesión,,,,13,AGUA-01,,21.19,33.25,12.21,1794.0,8.94,23.0
2000-01-01T01:25:36,2025-10-31 08:38:49,Sin sesión,,,,13,AGUA-01,,0.0,23.25,12.18,0.0,0.0,23.0
2000-01-01T01:45:06,2025-10-28 08:41:46,Sin sesión,,,,13,AGUA-01,,17.56,25.25,12.24,1652.0,8.66,22.0
2000-01-01T02:07:44,2025-10-26 07:01:13,Sin sesión,,,,13,AGUA-01,,0.0,14.0,12.09,0.0,0.0,23.0
2000-01-01T02:13:44,2025-10-30 01:13:42,Sin sesión,,,,13,AGUA-01,,0.0,21.5,12.16,0.0,0.0,22.0
2000-01-01T02:16:12,2025-11-05 07:12:23,Sin sesión,,,,13,AGUA-01,,19.44,15.0,12.24,1708.0,9.02,25.0
2000-01-01T03:08:39,2025-10-26 08:02:08,Sin sesión,,,,13,AGUA-01,,17.56,18.5,12.11,1646.0,8.93,22.0
2000-01-01T03:14:20,2025-10-30 02:14:17,Sin sesión,,,,13,AGUA-01,,0.0,19.0,12.16,0.0,0.0,24.0
2000-01-01T04:15:08,2025-10-30 03:15:06,Sin sesión,,,,13,AGUA-01,,19.06,18.25,12.16,1691.0,8.79,24.0
2000-01-07T21:10:37,2025-11-02 01:10:46,Sin sesión,,,,13,AGUA-01,,0.0,19.75,12.1,0.0,0.0,23.0
2000-01-07T21:21:34,2025-11-02 02:11:30,Sin sesión,,,,13,AGUA-01,,19.12,18.75,12.05,1713.0,8.51,24.0
2000-01-08T22:34:58,2025-11-04 05:52:28,Sin sesión,,,,13,AGUA-01,,0.0,20.0,12.17,0.0,0.0,22.0
2000-01-08T22:46:08,2025-11-04 06:53:15,Sin sesión,,,,13,AGUA-01,,0.0,20.0,12.13,0.0,0.0,23.0
2000-01-08T22:57:14,2025-11-04 07:54:05,Sin sesión,,,,13,AGUA-01,,0.0,20.75,12.24,0.0,0.0,26.0
2000-01-08T23:08:23,2025-11-04 08:55:10,Sin sesión,,,,13,AGUA-01,,18.62,26.25,12.19,1734.0,8.11,23.0
2001-12-31T21:10:23,2025-11-02 13:21:25,Sin sesión,,,,13,AGUA-01,,21.56,36.0,12.29,1813.0,8.12,23.0
2001-12-31T21:12:45,2025-11-03 15:41:53,Sin sesión,,,,13,AGUA-01,,21.69,31.0,12.29,1913.0,8.43,22.0
2001-12-31T21:21:23,2025-11-02 14:22:09,Sin sesión,,,,13,AGUA-01,,21.94,36.0,12.26,1851.0,8.17,25.0
2001-12-31T21:32:27,2025-11-02 15:22:58,Sin sesión,,,,13,AGUA-01,,22.38,36.5,12.24,1828.0,8.56,21.0
2001-12-31T21:43:38,2025-11-02 16:23:47,Sin sesión,,,,13,AGUA-01,,22.94,36.5,12.28,1907.0,8.46,23.0
2001-12-31T21:54:35,2025-11-02 17:24:34,Sin sesión,,,,13,AGUA-01,,22.06,35.75,12.31,1834.0,8.76,22.0
2001-12-31T22:08:01,2025-11-02 18:25:20,Sin sesión,,,,13,AGUA-01,,21.56,35.0,12.26,1816.0,8.85,22.0
2001-12-31T23:12:29,2025-11-02 19:26:00,Sin sesión,,,,13,AGUA-01,,21.38,32.25,12.2,1794.0,8.97,22.0
2001-12-31T23:23:30,2025-11-02 20:26:30,Sin sesión,,,,13,AGUA-01,,20.5,27.0,12.2,1787.0,9.08,21.0
2001-12-31T23:36:11,2025-11-02 21:27:05,Sin sesión,,,,13,AGUA-01,,20.31,24.5,12.22,1780.0,9.04,28.0
2002-01-01T00:02:53,2025-11-02 22:27:46,Sin sesión,,,,13,AGUA-01,,20.25,23.25,12.24,1771.0,9.03,24.0
2002-01-01T00:15:02,2025-11-02 23:28:31,Sin sesión,,,,13,AGUA-01,,19.94,22.5,12.21,1760.0,9.0,23.0
2002-01-01T00:27:20,2025-11-03 00:29:16,Sin sesión,,,,13,AGUA-01,,0.0,21.25,12.17,0.0,0.0,22.0
2002-01-01T00:52:58,2025-11-03 01:30:00,Sin sesión,,,,13,AGUA-01,,0.0,19.75,12.13,0.0,0.0,23.0
2002-01-01T01:04:15,2025-11-03 02:30:40,Sin sesión,,,,13,AGUA-01,,19.5,18.0,12.16,1748.0,8.48,23.0
2002-01-01T01:15:13,2025-11-03 03:31:24,Sin sesión,,,,13,AGUA-01,,19.5,17.0,12.24,1730.0,8.48,22.0
2002-01-01T01:29:15,2025-11-03 04:32:09,Sin sesión,,,,13,AGUA-01,,0.0,16.25,12.13,0.0,0.0,23.0
2002-01-01T01:40:25,2025-11-03 05:32:58,Sin sesión,,,,13,AGUA-01,,0.0,16.5,12.13,0.0,0.0,23.0
2002-01-01T01:55:50,2025-11-03 06:33:44,Sin sesión,,,,13,AGUA-01,,0.0,16.0,12.12,0.0,0.0,23.0
2002-01-01T02:22:10,2025-11-03 07:34:31,Sin sesión,,,,13,AGUA-01,,0.0,16.75,12.11,0.0,0.0,26.0
2002-01-01T02:33:54,2025-11-03 08:35:31,Sin sesión,,,,13,AGUA-01,,0.0,19.5,12.17,0.0,0.0,23.0
2002-01-01T02:45:06,2025-11-03 09:36:35,Sin sesión,,,,13,AGUA-01,,19.0,24.25,12.18,1722.0,8.82,26.0
2002-01-01T02:56:14,2025-11-03 10:37:39,Sin sesión,,,,13,AGUA-01,,19.12,27.5,12.18,1724.0,8.78,25.0
2002-01-07T21:10:23,2025-10-27 05:19:38,Sin sesión,,,,13,AGUA-01,,0.0,20.5,12.15,0.0,0.0,23.0
2002-01-10T22:10:23,2025-11-05 10:16:10,Sin sesión,,,,13,AGUA-01,,20.19,32.75,12.2,1739.0,9.29,28.0
2002-01-10T22:23:51,2025-11-05 11:17:10,Sin sesión,,,,13,AGUA-01,,21.81,35.0,12.11,1769.0,9.04,25.0
2002-01-10T22:38:57,2025-11-05 12:17:55,Sin sesión,,,,13,AGUA-01,,21.38,34.75,12.25,1782.0,8.55,23.0
2002-01-10T23:10:58,2025-11-05 13:18:43,Sin sesión,,,,13,AGUA-01,,21.88,33.5,12.24,1804.0,8.81,22.0
2006-09-09T21:39:41,2025-10-27 07:21:11,Sin sesión,,,,13,AGUA-01,,18.38,20.0,12.17,1676.0,9.1,21.0
2006-09-09T22:40:34,2025-10-27 08:22:04,Sin sesión,,,,13,AGUA-01,,18.38,21.5,12.19,1679.0,9.03,27.0
2025-11-05T14:15:11,2025-11-05 14:15:53,Sin sesión,,,,13,AGUA-01,,21.94,32.5,12.46,1800.0,8.93,26.0
2025-11-05T14:26:11,2025-11-05 14:26:53,Sin sesión,,,,13,AGUA-01,,22.25,33.5,12.46,1795.0,9.01,24.0
2025-11-05T15:26:19,2025-11-05 15:27:01,Sin sesión,,,,13,AGUA-01,,22.5,34.0,12.47,1835.0,8.98,25.0
2025-11-05T16:27:07,2025-11-05 16:27:49,Sin sesión,,,,13,AGUA-01,,22.62,33.5,12.47,1856.0,8.96,23.0
2025-11-05T17:27:53,2025-11-05 17:28:35,Sin sesión,,,,13,AGUA-01,,22.06,33.5,12.47,1820.0,9.14,25.0
2025-11-05T18:28:39,2025-11-05 18:29:21,Sin sesión,,,,13,AGUA-01,,21.81,33.25,12.47,1834.0,9.09,25.0
2025-11-05T19:29:23,2025-11-05 19:30:05,Sin sesión,,,,13,AGUA-01,,21.62,32.0,12.47,1791.0,9.19,27.0
2025-11-05T20:29:54,2025-11-05 20:30:36,Sin sesión,,,,13,AGUA-01,,20.94,26.0,12.44,1768.0,9.39,26.0
2025-11-05T21:30:29,2025-11-05 21:31:11,Sin sesión,,,,13,AGUA-01,,20.75,23.25,12.42,1755.0,9.44,26.0
2025-11-05T22:31:07,2025-11-05 22:31:48,Sin sesión,,,,13,AGUA-01,,20.5,21.5,12.42,1759.0,9.36,25.0
2025-11-05T23:31:49,2025-11-05 23:32:30,Sin sesión,,,,13,AGUA-01,,20.31,20.5,12.41,1750.0,9.34,25.0
2025-11-06T00:32:32,2025-11-06 00:33:14,Sin sesión,,,,13,AGUA-01,,20.06,19.5,12.39,1742.0,9.25,26.0
2025-11-06T01:33:16,2025-11-06 01:33:58,Sin sesión,,,,13,AGUA-01,,19.88,18.75,12.39,1733.0,9.09,25.0
2025-11-06T02:33:58,2025-11-06 02:34:40,Sin sesión,,,,13,AGUA-01,,19.75,17.75,12.39,1727.0,9.02,24.0
2025-11-06T03:34:40,2025-11-06 03:35:22,Sin sesión,,,,13,AGUA-01,,19.69,16.25,12.37,1733.0,9.05,25.0
2025-11-06T04:35:25,2025-11-06 04:36:07,Sin sesión,,,,13,AGUA-01,,19.5,17.0,12.37,1734.0,8.74,25.0
2025-11-06T05:36:17,2025-11-06 05:36:58,Sin sesión,,,,13,AGUA-01,,19.38,18.25,12.37,1753.0,8.51,25.0
2025-11-06T06:37:04,2025-11-06 06:37:46,Sin sesión,,,,13,AGUA-01,,19.19,18.5,12.37,1749.0,8.57,24.0
2025-11-06T07:37:52,2025-11-06 07:38:34,Sin sesión,,,,13,AGUA-01,,19.12,19.0,12.38,1751.0,8.49,28.0
2025-11-06T08:38:42,2025-11-06 08:39:24,Sin sesión,,,,13,AGUA-01,,19.0,19.75,12.39,1742.0,8.38,22.0
