fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (uS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-11T12:13:38,2025-11-11 12:14:20,Sin sesión,,,,13,AGUA-01,,20.19,31.25,12.44,1778.0,7.24,25.0
2025-11-11T13:14:24,2025-11-11 13:15:06,Sin sesión,,,,13,AGUA-01,,20.12,32.0,12.45,1786.0,6.67,27.0
2025-11-11T14:15:13,2025-11-11 14:15:55,Sin sesión,,,,13,AGUA-01,,20.5,33.0,12.45,1794.0,6.84,27.0
2025-11-11T15:15:56,2025-11-11 15:16:38,Sin sesión,,,,13,AGUA-01,,21.06,32.25,12.46,1847.0,7.18,25.0
2025-11-11T16:16:43,2025-11-11 16:17:25,Sin sesión,,,,13,AGUA-01,,22.0,33.0,12.47,1823.0,7.96,25.0
2025-11-11T17:17:32,2025-11-11 17:18:14,Sin sesión,,,,13,AGUA-01,,21.81,34.0,12.47,1778.0,8.19,24.0
2025-11-11T19:19:14,2025-11-11 19:19:56,Sin sesión,,,,13,AGUA-01,,21.12,33.5,12.47,1716.0,8.1,24.0
2025-11-11T20:19:50,2025-11-11 20:20:32,Sin sesión,,,,13,AGUA-01,,19.88,28.25,12.44,1692.0,8.21,24.0
2025-11-11T21:20:21,2025-11-11 21:21:03,Sin sesión,,,,13,AGUA-01,,19.62,25.75,12.42,1664.0,8.42,26.0
2025-11-11T22:21:02,2025-11-11 22:21:44,Sin sesión,,,,13,AGUA-01,,19.38,24.5,12.41,1672.0,8.35,25.0
2025-11-11T23:21:44,2025-11-11 23:22:27,Sin sesión,,,,13,AGUA-01,,19.12,23.5,12.4,1699.0,8.34,25.0
2025-11-12T00:22:21,2025-11-12 00:23:03,Sin sesión,,,,13,AGUA-01,,18.88,21.0,12.41,1696.0,8.28,24.0
2025-11-12T01:23:03,2025-11-12 01:23:45,Sin sesión,,,,13,AGUA-01,,18.81,20.0,12.39,1703.0,8.28,25.0
2025-11-12T02:23:48,2025-11-12 02:24:30,Sin sesión,,,,13,AGUA-01,,18.69,20.5,12.39,1702.0,8.27,24.0
2025-11-12T03:24:32,2025-11-12 03:25:14,Sin sesión,,,,13,AGUA-01,,18.62,18.75,12.38,1709.0,8.25,24.0
2025-11-12T04:25:14,2025-11-12 04:25:57,Sin sesión,,,,13,AGUA-01,,18.81,19.25,12.39,1707.0,8.7,24.0
2025-11-12T05:26:06,2025-11-12 05:26:48,Sin sesión,,,,13,AGUA-01,,18.69,19.5,12.37,1687.0,8.67,24.0
2025-11-12T06:26:42,2025-11-12 06:27:25,Sin sesión,,,,13,AGUA-01,,18.56,16.5,12.37,1712.0,8.61,24.0
2025-11-12T07:27:25,2025-11-12 07:28:08,Sin sesión,,,,13,AGUA-01,,18.5,17.5,12.36,1710.0,8.47,25.0
2025-11-12T08:28:37,2025-11-12 08:29:19,Sin sesión,,,,13,AGUA-01,,18.56,24.5,12.4,1716.0,8.36,25.0
2025-11-12T09:29:34,2025-11-12 09:30:16,Sin sesión,,,,13,AGUA-01,,18.94,28.0,12.42,1724.0,8.47,27.0
2025-11-12T10:30:42,2025-11-12 10:31:25,Sin sesión,,,,13,AGUA-01,,19.69,33.0,12.44,1757.0,8.41,23.0
2025-11-12T11:31:37,2025-11-12 11:32:20,Sin sesión,,,,13,AGUA-01,,21.19,36.25,12.46,1817.0,7.16,24.0
2025-11-12T12:32:28,2025-11-12 12:33:19,Sin sesión,,,,13,AGUA-01,,20.44,37.0,12.45,1792.0,6.08,17.0
2025-11-12T13:33:24,2025-11-12 13:34:07,Sin sesión,,,,13,AGUA-01,,21.56,36.75,12.47,1834.0,6.05,25.0
2025-11-12T14:34:11,2025-11-12 14:34:53,Sin sesión,,,,13,AGUA-01,,22.19,36.75,12.47,1851.0,6.36,26.0
2025-11-12T15:34:55,2025-11-12 15:35:37,Sin sesión,,,,13,AGUA-01,,21.88,36.5,12.47,1859.0,6.7,24.0
2025-11-12T16:35:41,2025-11-12 16:36:23,Sin sesión,,,,13,AGUA-01,,22.5,37.0,12.47,1847.0,7.72,23.0
2025-11-12T17:36:30,2025-11-12 17:37:13,Sin sesión,,,,13,AGUA-01,,22.19,37.75,12.48,1817.0,7.79,24.0
2025-11-12T18:37:18,2025-11-12 18:38:00,Sin sesión,,,,13,AGUA-01,,21.75,37.75,12.47,1775.0,7.89,23.0
2025-11-12T19:38:00,2025-11-12 19:38:43,Sin sesión,,,,13,AGUA-01,,20.88,36.5,12.47,1718.0,8.04,24.0
2025-11-12T20:38:32,2025-11-12 20:39:14,Sin sesión,,,,13,AGUA-01,,20.5,30.5,12.46,1686.0,8.48,23.0
