fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-10-28 12:04:39,2025-10-28T12:04:39,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.055,5.0,-33.391331,-70.499878,706.0,1.0,38.7,40.4,0.0,0.0,0.0,48.33,32.49,20.0,-33.391331,-70.499878,7.0,0.0
2025-10-28 12:04:42,2025-10-28T12:04:42,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.048,5.0,-33.391331,-70.499878,707.0,1.0,38.7,40.4,0.0,0.0,0.0,48.33,32.54,20.0,-33.391331,-70.499878,6.0,0.0
2025-10-28 12:04:45,2025-10-28T12:04:45,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.053,5.0,-33.391331,-70.499878,708.0,1.0,38.7,40.4,0.0,0.0,0.0,48.36,32.49,20.0,-33.391331,-70.499878,7.0,0.0
2025-10-28 12:04:48,2025-10-28T12:04:48,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.073,5.0,-33.391331,-70.499886,709.0,1.0,38.7,40.4,0.0,0.0,0.0,48.37,32.48,20.0,-33.391331,-70.499886,8.0,0.0
2025-10-28 12:04:51,2025-10-28T12:04:51,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.079,5.0,-33.391331,-70.499886,710.0,1.0,38.7,40.4,0.0,0.0,0.0,48.42,32.46,20.0,-33.391331,-70.499886,7.0,0.0
2025-10-28 12:04:54,2025-10-28T12:04:54,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.08,5.0,-33.391331,-70.499886,711.0,1.0,38.8,40.4,0.0,0.0,0.0,48.42,32.51,20.0,-33.391331,-70.499886,7.0,0.0
2025-10-28 12:04:58,2025-10-28T12:04:58,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.063,5.0,-33.391331,-70.499886,712.0,1.0,38.7,40.3,0.0,0.0,0.0,48.42,32.4,20.0,-33.391331,-70.499886,7.0,0.0
2025-10-28 12:05:00,2025-10-28T12:05:00,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.064,5.0,-33.391331,-70.499886,713.0,1.0,38.8,40.3,0.0,0.0,0.0,48.43,32.47,20.0,-33.391331,-70.499886,7.0,0.0
2025-10-28 12:05:03,2025-10-28T12:05:03,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.064,5.0,-33.391331,-70.499886,714.0,1.0,38.8,40.4,0.0,0.0,0.0,48.47,32.4,20.0,-33.391331,-70.499886,7.0,0.0
2025-10-28 12:05:06,2025-10-28T12:05:06,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.074,5.0,-33.391331,-70.499886,715.0,1.0,38.8,40.4,0.0,0.0,0.0,48.47,32.47,20.0,-33.391331,-70.499886,8.0,0.0
2025-10-28 12:05:09,2025-10-28T12:05:09,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.069,5.0,-33.391335,-70.499886,716.0,1.0,38.8,40.3,0.0,0.0,0.0,48.48,32.42,20.0,-33.391335,-70.499886,8.0,0.0
2025-10-28 12:05:13,2025-10-28T12:05:13,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.05,5.0,-33.391335,-70.499886,717.0,1.0,38.8,40.3,0.0,0.0,0.0,48.51,32.4,20.0,-33.391335,-70.499886,8.0,0.0
2025-10-28 12:05:15,2025-10-28T12:05:15,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.078,5.0,-33.391335,-70.499886,718.0,1.0,38.9,40.3,0.0,0.0,0.0,48.54,32.39,20.0,-33.391335,-70.499886,8.0,0.0
2025-10-28 12:05:18,2025-10-28T12:05:18,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.076,5.0,-33.391335,-70.499886,719.0,1.0,38.9,40.3,0.0,0.0,0.0,48.57,32.33,20.0,-33.391335,-70.499886,6.0,0.0
2025-10-28 12:05:21,2025-10-28T12:05:21,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.07,5.0,-33.391335,-70.499886,720.0,1.0,38.9,40.3,0.0,0.0,0.0,48.56,32.34,20.0,-33.391335,-70.499886,5.0,0.0
2025-10-28 12:05:24,2025-10-28T12:05:24,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.056,5.0,-33.39135,-70.499886,721.0,1.0,38.9,40.2,0.0,0.0,0.0,48.58,32.35,20.0,-33.39135,-70.499886,5.0,0.0
2025-10-28 12:05:27,2025-10-28T12:05:27,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.053,5.0,-33.39135,-70.499886,722.0,1.0,38.9,40.2,0.0,0.0,0.0,48.61,32.36,20.0,-33.39135,-70.499886,6.0,0.0
2025-10-28 12:05:31,2025-10-28T12:05:31,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.053,5.0,-33.39135,-70.499886,723.0,1.0,38.9,40.2,0.0,0.0,0.0,48.63,32.38,20.0,-33.39135,-70.499886,6.0,0.0
2025-10-28 12:05:33,2025-10-28T12:05:33,Sin sesión,,,,18,HIRIPRO-05,,41.0,4.054,5.0,-33.39135,-70.499893,724.0,1.0,38.9,40.2,0.0,0.0,0.0,48.64,32.42,20.0,-33.39135,-70.499893,5.0,0.0
2025-10-28 12:05:37,2025-10-28T12:05:37,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.063,5.0,-33.39135,-70.499893,725.0,1.0,39.0,40.2,0.0,0.0,0.0,48.63,32.32,20.0,-33.39135,-70.499893,5.0,0.0
2025-10-28 12:05:40,2025-10-28T12:05:40,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.058,5.0,-33.39135,-70.499893,726.0,1.0,39.0,40.2,0.0,0.0,0.0,48.65,32.32,20.0,-33.39135,-70.499893,6.0,0.0
2025-10-28 12:05:43,2025-10-28T12:05:43,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.053,5.0,-33.39135,-70.499893,727.0,1.0,39.0,40.2,0.0,0.0,0.0,48.7,32.29,20.0,-33.39135,-70.499893,5.0,0.0
2025-10-28 12:05:46,2025-10-28T12:05:46,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.047,5.0,-33.39135,-70.499893,728.0,1.0,39.0,40.2,0.0,0.0,0.0,48.72,32.32,20.0,-33.39135,-70.499893,5.0,0.0
2025-10-28 12:05:48,2025-10-28T12:05:48,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.058,5.0,-33.39135,-70.499893,729.0,1.0,39.0,40.2,0.0,0.0,0.0,48.7,32.27,20.0,-33.39135,-70.499893,5.0,0.0
2025-10-28 12:05:52,2025-10-28T12:05:52,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.069,5.0,-33.391357,-70.499901,730.0,1.0,39.0,40.2,0.0,0.0,0.0,48.71,32.31,20.0,-33.391357,-70.499901,5.0,0.0
2025-10-28 12:05:56,2025-10-28T12:05:56,Sin sesión,,,,18,HIRIPRO-05,,41.25,4.064,5.0,-33.391357,-70.499893,731.0,1.0,39.0,40.2,0.0,0.0,0.0,48.72,32.3,20.0,-33.391357,-70.499893,5.0,0.0
