fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-10-24 09:02:30,2025-10-24T09:02:30,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.136,5.0,-33.416443,-70.529495,1359.0,1.0,25.0,38.6,13.0,17.0,17.0,28.82,36.21,16.0,-33.416443,-70.529495,7.0,28.0
2025-10-24 09:02:33,2025-10-24T09:02:33,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.144,5.0,-33.416164,-70.529526,1360.0,1.0,25.0,38.6,13.0,17.0,17.0,28.85,36.2,16.0,-33.416164,-70.529526,7.0,41.8
2025-10-24 09:02:35,2025-10-24T09:02:35,Sin sesión,,,,18,HIRIPRO-05,,30.0,4.138,5.0,-33.41581,-70.529541,1361.0,1.0,25.0,38.7,13.0,16.0,16.0,28.85,36.26,16.0,-33.41581,-70.529541,7.0,52.0
2025-10-24 09:02:42,2025-10-24T09:02:42,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.118,5.0,-33.415386,-70.529556,1362.0,1.0,25.0,38.7,12.0,15.0,15.0,28.88,36.19,16.0,-33.415386,-70.529556,7.0,60.3
2025-10-24 09:02:44,2025-10-24T09:02:44,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.118,5.0,-33.414581,-70.529602,1363.0,1.0,25.0,38.6,12.0,15.0,15.0,28.85,36.05,16.0,-33.414581,-70.529602,7.0,41.7
2025-10-24 09:02:47,2025-10-24T09:02:47,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.123,5.0,-33.414288,-70.529648,1364.0,1.0,25.1,38.6,15.0,18.0,18.0,28.85,35.9,16.0,-33.414288,-70.529648,7.0,36.1
2025-10-24 09:02:50,2025-10-24T09:02:50,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.134,5.0,-33.414089,-70.529686,1365.0,1.0,25.1,38.6,16.0,18.0,18.0,28.88,35.83,16.0,-33.414089,-70.529686,7.0,17.4
2025-10-24 09:02:53,2025-10-24T09:02:53,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.121,5.0,-33.414009,-70.529701,1366.0,1.0,25.1,38.5,17.0,19.0,19.0,28.87,35.71,16.0,-33.414009,-70.529701,7.0,6.5
2025-10-24 09:02:56,2025-10-24T09:02:56,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.127,5.0,-33.413994,-70.529709,1367.0,1.0,25.1,38.5,16.0,19.0,19.0,28.88,35.76,16.0,-33.413994,-70.529709,7.0,0.7
2025-10-24 09:02:59,2025-10-24T09:02:59,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.115,5.0,-33.41399,-70.529709,1368.0,1.0,25.0,38.5,16.0,19.0,19.0,28.9,35.93,16.0,-33.41399,-70.529709,7.0,0.0
2025-10-24 09:03:02,2025-10-24T09:03:02,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.12,5.0,-33.413986,-70.529709,1369.0,1.0,25.1,38.6,17.0,19.0,19.0,28.87,36.02,16.0,-33.413986,-70.529709,7.0,0.0
2025-10-24 09:03:05,2025-10-24T09:03:05,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.134,5.0,-33.413986,-70.529709,1370.0,1.0,25.1,38.6,16.0,19.0,19.0,28.9,36.02,16.0,-33.413986,-70.529709,7.0,0.0
2025-10-24 09:03:08,2025-10-24T09:03:08,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.124,5.0,-33.413986,-70.529709,1371.0,1.0,25.1,38.6,17.0,19.0,19.0,28.9,35.91,16.0,-33.413986,-70.529709,7.0,0.0
2025-10-24 09:03:12,2025-10-24T09:03:12,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.136,5.0,-33.413982,-70.529709,1372.0,1.0,25.1,38.6,16.0,19.0,19.0,28.91,35.89,16.0,-33.413982,-70.529709,7.0,0.0
2025-10-24 09:03:15,2025-10-24T09:03:15,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.11,5.0,-33.413982,-70.529709,1373.0,1.0,25.1,38.5,15.0,19.0,19.0,28.92,35.86,16.0,-33.413982,-70.529709,7.0,0.0
2025-10-24 09:03:18,2025-10-24T09:03:18,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.106,5.0,-33.413982,-70.529709,1374.0,1.0,25.1,38.5,14.0,18.0,18.0,28.91,35.82,16.0,-33.413982,-70.529709,7.0,0.0
2025-10-24 09:03:21,2025-10-24T09:03:21,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.116,5.0,-33.413982,-70.529709,1375.0,1.0,25.1,38.5,14.0,19.0,19.0,28.92,35.88,16.0,-33.413982,-70.529709,7.0,0.0
2025-10-24 09:03:23,2025-10-24T09:03:23,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.127,5.0,-33.413982,-70.529709,1376.0,1.0,25.1,38.5,14.0,18.0,18.0,28.92,35.79,16.0,-33.413982,-70.529709,7.0,0.0
2025-10-24 09:03:27,2025-10-24T09:03:27,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.129,5.0,-33.413982,-70.529709,1377.0,1.0,25.1,38.5,13.0,18.0,18.0,28.94,35.75,16.0,-33.413982,-70.529709,7.0,0.0
2025-10-24 09:03:30,2025-10-24T09:03:30,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.132,5.0,-33.413967,-70.529709,1378.0,1.0,25.1,38.4,14.0,18.0,18.0,28.94,35.69,16.0,-33.413967,-70.529709,7.0,7.1
2025-10-24 09:03:33,2025-10-24T09:03:33,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.131,5.0,-33.413872,-70.529724,1379.0,1.0,25.1,38.4,14.0,18.0,18.0,28.96,35.63,16.0,-33.413872,-70.529724,7.0,14.2
2025-10-24 09:03:36,2025-10-24T09:03:36,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.133,5.0,-33.413765,-70.529739,1380.0,1.0,25.1,38.4,13.0,17.0,17.0,28.95,35.62,16.0,-33.413765,-70.529739,7.0,11.8
2025-10-24 09:03:39,2025-10-24T09:03:39,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.115,5.0,-33.413708,-70.529701,1381.0,1.0,25.1,38.3,14.0,18.0,18.0,28.94,35.62,16.0,-33.413708,-70.529701,7.0,8.8
2025-10-24 09:03:59,2025-10-24T09:03:59,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.115,5.0,-33.413528,-70.52861,1381.0,1.0,25.1,38.4,14.0,18.0,18.0,28.95,36.4,16.0,-33.413528,-70.52861,7.0,42.6
2025-10-24 09:04:10,2025-10-24T09:04:10,Sin sesión,,,,18,HIRIPRO-05,,30.5,4.115,5.0,-33.413708,-70.526596,1381.0,1.0,25.1,38.5,14.0,18.0,17.0,28.96,36.71,16.0,-33.413708,-70.526596,7.0,39.2
2025-10-24 09:04:13,2025-10-24T09:04:13,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.076,5.0,-33.413605,-70.526268,1382.0,1.0,25.1,38.8,13.0,15.0,14.0,28.95,36.92,16.0,-33.413605,-70.526268,7.0,40.8
2025-10-24 09:04:16,2025-10-24T09:04:16,Sin sesión,,,,18,HIRIPRO-05,,30.5,4.092,5.0,-33.413383,-70.526039,1383.0,1.0,25.1,38.9,13.0,16.0,15.0,28.96,36.94,16.0,-33.413383,-70.526039,7.0,36.4
2025-10-24 09:04:19,2025-10-24T09:04:19,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.125,5.0,-33.413261,-70.525955,1384.0,1.0,25.2,38.9,13.0,16.0,15.0,28.96,36.72,16.0,-33.413261,-70.525955,7.0,8.3
2025-10-24 09:04:22,2025-10-24T09:04:22,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.107,5.0,-33.413177,-70.525902,1385.0,1.0,25.1,38.9,13.0,15.0,15.0,28.96,36.48,16.0,-33.413177,-70.525902,7.0,17.1
2025-10-24 09:04:25,2025-10-24T09:04:25,Sin sesión,,,,18,HIRIPRO-05,,30.25,4.113,5.0,-33.413044,-70.525818,1386.0,1.0,25.1,38.9,13.0,16.0,16.0,28.95,36.36,16.0,-33.413044,-70.525818,7.0,21.9
