fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-10-21 10:13:00,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.0,4.234,5.0,-33.611023,-70.882843,1282.0,1.0,29.5,29.8,9.0,10.0,10.0,35.11,25.2,18.0,-33.611023,-70.882843,11.0,0.8
2025-10-21 10:13:03,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.235,5.0,-33.611023,-70.882843,1283.0,1.0,29.5,29.8,9.0,11.0,11.0,35.11,25.25,18.0,-33.611023,-70.882843,12.0,0.8
2025-10-21 10:13:06,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.236,5.0,-33.611023,-70.882843,1284.0,1.0,29.5,29.8,9.0,11.0,11.0,35.11,25.18,18.0,-33.611023,-70.882843,11.0,0.0
2025-10-21 10:13:09,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.242,5.0,-33.611023,-70.882843,1285.0,1.0,29.5,29.8,9.0,11.0,11.0,35.12,25.2,18.0,-33.611023,-70.882843,10.0,0.5
2025-10-21 10:13:12,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.213,5.0,-33.611023,-70.882843,1286.0,1.0,29.5,29.8,8.0,10.0,10.0,35.14,25.23,18.0,-33.611023,-70.882843,9.0,0.0
2025-10-21 10:13:16,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.233,5.0,-33.611023,-70.882843,1287.0,1.0,29.5,29.8,8.0,10.0,10.0,35.14,25.21,18.0,-33.611023,-70.882843,9.0,0.0
2025-10-21 10:13:18,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.233,5.0,-33.611023,-70.882843,1288.0,1.0,29.5,29.8,9.0,11.0,11.0,35.14,25.26,18.0,-33.611023,-70.882843,10.0,0.0
2025-10-21 10:13:21,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.206,5.0,-33.611023,-70.882843,1289.0,1.0,29.5,29.8,9.0,10.0,10.0,35.11,25.23,18.0,-33.611023,-70.882843,10.0,0.0
2025-10-21 10:13:24,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.215,5.0,-33.611023,-70.882843,1290.0,1.0,29.6,29.8,9.0,10.0,10.0,35.14,25.14,18.0,-33.611023,-70.882843,10.0,0.0
2025-10-21 10:13:27,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.205,5.0,-33.611027,-70.882843,1291.0,1.0,29.6,29.7,8.0,10.0,10.0,35.15,25.14,18.0,-33.611027,-70.882843,9.0,0.0
2025-10-21 10:13:38,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.216,5.0,-33.611031,-70.882851,1292.0,1.0,29.6,29.8,8.0,10.0,10.0,35.15,25.14,18.0,-33.611031,-70.882851,9.0,0.0
2025-10-21 10:13:43,2025-10-22T15:10:22,Sin sesión,,,,18,HIRIPRO-05,,35.25,4.216,5.0,-33.611031,-70.882851,1293.0,1.0,29.6,29.8,8.0,10.0,10.0,35.15,25.16,18.0,-33.611031,-70.882851,10.0,0.0
