fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-10-28 13:09:25,2025-10-28T13:09:25,Sin sesión,,,,18,HIRIPRO-05,,50.75,3.856,5.0,-33.391373,-70.499977,1706.0,1.0,48.1,31.5,0.0,0.0,0.0,57.87,24.83,15.0,-33.391373,-70.499977,4.0,0.0
2025-10-28 13:09:28,2025-10-28T13:09:28,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.825,5.0,-33.391373,-70.499977,1707.0,1.0,48.1,31.5,0.0,0.0,0.0,57.88,24.72,15.0,-33.391373,-70.499977,3.0,0.0
2025-10-28 13:09:31,2025-10-28T13:09:31,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.846,5.0,-33.391373,-70.499977,1708.0,1.0,48.1,31.6,0.0,0.0,0.0,57.89,24.72,15.0,-33.391373,-70.499977,3.0,0.0
2025-10-28 13:09:34,2025-10-28T13:09:34,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.853,5.0,-33.391373,-70.499977,1709.0,1.0,48.1,31.5,1.0,1.0,1.0,57.91,24.81,15.0,-33.391373,-70.499977,3.0,0.0
2025-10-28 13:09:37,2025-10-28T13:09:37,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.874,5.0,-33.391373,-70.499977,1710.0,1.0,48.1,31.6,1.0,1.0,1.0,57.89,24.83,15.0,-33.391373,-70.499977,2.0,0.0
2025-10-28 13:09:40,2025-10-28T13:09:40,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.871,5.0,-33.391373,-70.499977,1711.0,1.0,48.1,31.6,1.0,1.0,1.0,57.91,24.79,15.0,-33.391373,-70.499977,2.0,0.0
2025-10-28 13:09:43,2025-10-28T13:09:43,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.871,5.0,-33.391373,-70.499985,1712.0,1.0,48.1,31.6,1.0,1.0,1.0,57.91,24.81,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:09:48,2025-10-28T13:09:48,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.873,5.0,-33.391373,-70.499985,1713.0,1.0,48.1,31.6,1.0,1.0,1.0,57.91,24.78,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:09:50,2025-10-28T13:09:50,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.873,5.0,-33.391373,-70.499985,1714.0,1.0,48.1,31.6,1.0,1.0,1.0,57.91,24.87,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:09:54,2025-10-28T13:09:54,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.853,5.0,-33.391373,-70.499985,1715.0,1.0,48.1,31.6,0.0,1.0,1.0,57.89,24.9,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:09:57,2025-10-28T13:09:57,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.857,5.0,-33.391373,-70.499985,1716.0,1.0,48.1,31.6,0.0,0.0,0.0,57.94,24.87,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:00,2025-10-28T13:10:00,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.857,5.0,-33.391373,-70.499985,1717.0,1.0,48.2,31.6,0.0,0.0,0.0,57.94,24.9,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:02,2025-10-28T13:10:02,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.867,5.0,-33.391373,-70.499985,1718.0,1.0,48.1,31.7,0.0,0.0,0.0,57.89,24.98,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:06,2025-10-28T13:10:06,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.87,5.0,-33.391373,-70.499985,1719.0,1.0,48.2,31.7,0.0,0.0,0.0,57.94,24.94,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:10:08,2025-10-28T13:10:08,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.876,5.0,-33.391373,-70.499985,1720.0,1.0,48.1,31.7,0.0,0.0,0.0,57.92,24.94,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:10:11,2025-10-28T13:10:11,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.843,5.0,-33.391373,-70.499985,1721.0,1.0,48.1,31.7,0.0,1.0,1.0,57.94,25.01,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:10:15,2025-10-28T13:10:15,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.841,5.0,-33.391373,-70.499985,1722.0,1.0,48.1,31.7,0.0,0.0,0.0,57.96,24.98,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:10:17,2025-10-28T13:10:17,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.846,5.0,-33.391373,-70.499985,1723.0,1.0,48.2,31.7,0.0,0.0,0.0,57.94,25.0,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:10:20,2025-10-28T13:10:20,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.853,5.0,-33.391373,-70.499985,1724.0,1.0,48.2,31.7,1.0,1.0,1.0,57.96,25.01,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:10:23,2025-10-28T13:10:23,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.86,5.0,-33.391373,-70.499985,1725.0,1.0,48.2,31.7,1.0,1.0,1.0,57.95,25.05,15.0,-33.391373,-70.499985,2.0,0.0
2025-10-28 13:10:27,2025-10-28T13:10:27,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.847,5.0,-33.391373,-70.499985,1726.0,1.0,48.2,31.8,1.0,1.0,1.0,57.96,25.03,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:29,2025-10-28T13:10:29,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.849,5.0,-33.391373,-70.499985,1727.0,1.0,48.2,31.8,0.0,0.0,0.0,57.96,25.05,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:32,2025-10-28T13:10:32,Sin sesión,,,,18,HIRIPRO-05,,51.25,3.86,5.0,-33.391373,-70.499985,1728.0,1.0,48.2,31.8,0.0,1.0,1.0,57.95,25.09,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:35,2025-10-28T13:10:35,Sin sesión,,,,18,HIRIPRO-05,,51.25,3.862,5.0,-33.391373,-70.499985,1729.0,1.0,48.2,31.8,0.0,0.0,0.0,57.96,25.09,15.0,-33.391373,-70.499985,4.0,0.0
2025-10-28 13:10:38,2025-10-28T13:10:38,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.873,5.0,-33.391373,-70.499985,1730.0,1.0,48.2,31.8,0.0,1.0,1.0,57.99,25.09,15.0,-33.391373,-70.499985,4.0,0.0
2025-10-28 13:10:42,2025-10-28T13:10:42,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.867,5.0,-33.391373,-70.499985,1731.0,1.0,48.2,31.8,1.0,1.0,1.0,58.01,25.07,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:45,2025-10-28T13:10:45,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.871,5.0,-33.391373,-70.499985,1732.0,1.0,48.2,31.8,1.0,1.0,1.0,57.99,25.09,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:48,2025-10-28T13:10:48,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.863,5.0,-33.391373,-70.499985,1733.0,1.0,48.2,31.8,0.0,1.0,1.0,58.01,25.18,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:51,2025-10-28T13:10:51,Sin sesión,,,,18,HIRIPRO-05,,51.0,3.847,5.0,-33.391373,-70.499985,1734.0,1.0,48.2,31.8,0.0,0.0,0.0,58.01,25.13,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:54,2025-10-28T13:10:54,Sin sesión,,,,18,HIRIPRO-05,,51.25,3.841,5.0,-33.391373,-70.499985,1735.0,1.0,48.2,31.9,0.0,0.0,0.0,58.02,25.09,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:10:57,2025-10-28T13:10:57,Sin sesión,,,,18,HIRIPRO-05,,51.25,3.85,5.0,-33.391373,-70.499985,1736.0,1.0,48.1,31.8,0.0,1.0,1.0,58.01,25.15,15.0,-33.391373,-70.499985,3.0,0.0
2025-10-28 13:11:00,2025-10-28T13:11:00,Sin sesión,,,,18,HIRIPRO-05,,51.25,3.858,5.0,-33.391373,-70.499985,1737.0,1.0,48.2,31.9,1.0,1.0,1.0,58.02,25.09,15.0,-33.391373,-70.499985,3.0,0.0
