fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-10-23 18:03:23,2025-10-23T18:03:23,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.18,5.0,-33.439514,-70.551498,936.0,1.0,26.6,32.0,12.0,17.0,15.0,30.56,29.22,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:27,2025-10-23T18:03:27,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.184,5.0,-33.439514,-70.551498,937.0,1.0,26.6,32.0,12.0,17.0,15.0,30.56,29.21,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:30,2025-10-23T18:03:30,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.182,5.0,-33.439514,-70.551498,938.0,1.0,26.6,32.0,12.0,17.0,15.0,30.56,29.21,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:32,2025-10-23T18:03:32,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.155,5.0,-33.439514,-70.551498,939.0,1.0,26.6,31.9,11.0,16.0,14.0,30.53,29.16,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:36,2025-10-23T18:03:36,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.17,5.0,-33.439514,-70.551498,940.0,1.0,26.7,32.0,11.0,15.0,13.0,30.52,29.22,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:39,2025-10-23T18:03:39,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.177,5.0,-33.439514,-70.551498,941.0,1.0,26.6,32.0,11.0,16.0,14.0,30.49,29.28,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:42,2025-10-23T18:03:42,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.169,5.0,-33.439514,-70.551498,942.0,1.0,26.6,32.0,12.0,17.0,15.0,30.49,29.34,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:45,2025-10-23T18:03:45,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.161,5.0,-33.439514,-70.551498,943.0,1.0,26.6,32.0,13.0,18.0,16.0,30.46,29.33,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:48,2025-10-23T18:03:48,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.166,5.0,-33.439514,-70.551498,944.0,1.0,26.6,32.0,13.0,18.0,16.0,30.46,29.33,18.0,-33.439514,-70.551498,0.0,0.0
2025-10-23 18:03:51,2025-10-23T18:03:51,Sin sesión,,,,18,HIRIPRO-05,,34.25,4.174,5.0,-33.439514,-70.551498,945.0,1.0,26.6,32.0,12.0,17.0,15.0,30.46,29.28,18.0,-33.439514,-70.551498,0.0,0.0
