fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-12-02T12:54:15,2025-12-02 12:54:15,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.025,5.0,0.0,0.0,328.0,1.0,25.4,22.8,83.0,423.0,356.0,29.57,17.45,11.0,0.0,0.0,0.0,0.0,"30669037, 30669038, 30669039, 30669040, 30669041, 30669042, 30669043, 30669044, 30669045, 30669046, 30669047, 30669048, 30669049, 30669050, 30669051, 30669052, 30669053, 30669054, 30669055"
2025-12-02T12:54:12,2025-12-02 12:54:12,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.068,5.0,0.0,0.0,327.0,1.0,25.4,22.8,86.0,395.0,333.0,29.54,17.52,11.0,0.0,0.0,0.0,0.0,"30669018, 30669019, 30669020, 30669021, 30669022, 30669023, 30669024, 30669025, 30669026, 30669027, 30669028, 30669029, 30669030, 30669031, 30669032, 30669033, 30669034, 30669035, 30669036"
2025-12-02T12:54:09,2025-12-02 12:54:09,Sin sesión,,,,18,HIRIPRO-05,,31.5,3.068,5.0,0.0,0.0,326.0,1.0,25.4,22.8,80.0,336.0,296.0,29.55,17.61,11.0,0.0,0.0,0.0,0.0,"30668999, 30669000, 30669001, 30669002, 30669003, 30669004, 30669005, 30669006, 30669007, 30669008, 30669009, 30669010, 30669011, 30669012, 30669013, 30669014, 30669015, 30669016, 30669017"
2025-12-02T12:54:06,2025-12-02 12:54:06,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.068,5.0,0.0,0.0,325.0,1.0,25.4,22.9,65.0,242.0,228.0,29.55,17.51,11.0,0.0,0.0,0.0,0.0,"30668980, 30668981, 30668982, 30668983, 30668984, 30668985, 30668986, 30668987, 30668988, 30668989, 30668990, 30668991, 30668992, 30668993, 30668994, 30668995, 30668996, 30668997, 30668998"
2025-12-02T12:54:03,2025-12-02 12:54:03,Sin sesión,,,,18,HIRIPRO-05,,31.5,3.092,5.0,0.0,0.0,324.0,1.0,25.4,22.9,51.0,249.0,233.0,29.55,17.54,11.0,0.0,0.0,0.0,0.0,"30668961, 30668962, 30668963, 30668964, 30668965, 30668966, 30668967, 30668968, 30668969, 30668970, 30668971, 30668972, 30668973, 30668974, 30668975, 30668976, 30668977, 30668978, 30668979"
2025-12-02T12:54:00,2025-12-02 12:54:00,Sin sesión,,,,18,HIRIPRO-05,,31.5,3.092,5.0,0.0,0.0,323.0,1.0,25.4,22.9,53.0,228.0,214.0,29.55,17.54,11.0,0.0,0.0,0.0,0.0,"30668942, 30668943, 30668944, 30668945, 30668946, 30668947, 30668948, 30668949, 30668950, 30668951, 30668952, 30668953, 30668954, 30668955, 30668956, 30668957, 30668958, 30668959, 30668960"
2025-12-02T12:53:57,2025-12-02 12:53:57,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.119,5.0,0.0,0.0,322.0,1.0,25.4,22.9,47.0,222.0,207.0,29.51,17.62,11.0,0.0,0.0,0.0,0.0,"30668915, 30668916, 30668917, 30668918, 30668919, 30668920, 30668921, 30668922, 30668923, 30668924, 30668925, 30668926, 30668927, 30668928, 30668929, 30668930, 30668931, 30668932, 30668933"
2025-12-02T12:53:54,2025-12-02 12:53:54,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.119,5.0,0.0,0.0,321.0,1.0,25.4,23.0,45.0,206.0,192.0,29.53,17.67,11.0,0.0,0.0,0.0,0.0,"30668896, 30668897, 30668898, 30668899, 30668900, 30668901, 30668902, 30668903, 30668904, 30668905, 30668906, 30668907, 30668908, 30668909, 30668910, 30668911, 30668912, 30668913, 30668914"
2025-12-02T12:53:51,2025-12-02 12:53:51,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.119,5.0,0.0,0.0,320.0,1.0,25.4,22.9,43.0,176.0,169.0,29.54,17.79,11.0,0.0,0.0,0.0,0.0,"30668877, 30668878, 30668879, 30668880, 30668881, 30668882, 30668883, 30668884, 30668885, 30668886, 30668887, 30668888, 30668889, 30668890, 30668891, 30668892, 30668893, 30668894, 30668895"
2025-12-02T12:53:48,2025-12-02 12:53:48,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.125,5.0,0.0,0.0,319.0,1.0,25.4,22.9,32.0,145.0,144.0,29.54,17.74,11.0,0.0,0.0,0.0,0.0,"30668858, 30668859, 30668860, 30668861, 30668862, 30668863, 30668864, 30668865, 30668866, 30668867, 30668868, 30668869, 30668870, 30668871, 30668872, 30668873, 30668874, 30668875, 30668876"
