fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-10-24 08:41:57,2025-10-24T08:41:57,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.182,5.0,-33.452553,-70.56031,960.0,1.0,23.5,41.1,8.0,11.0,10.0,27.21,38.84,25.0,-33.452553,-70.56031,8.0,0.0
2025-10-24 08:42:00,2025-10-24T08:42:00,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.191,5.0,-33.452549,-70.56031,961.0,1.0,23.6,41.1,7.0,11.0,9.0,27.24,38.9,25.0,-33.452549,-70.56031,8.0,0.0
2025-10-24 08:42:03,2025-10-24T08:42:03,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.177,5.0,-33.452549,-70.56031,962.0,1.0,23.5,41.1,8.0,12.0,10.0,27.21,38.81,25.0,-33.452549,-70.56031,8.0,0.0
2025-10-24 08:42:06,2025-10-24T08:42:06,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.185,5.0,-33.452549,-70.56031,963.0,1.0,23.6,41.1,8.0,13.0,11.0,27.24,38.86,25.0,-33.452549,-70.56031,8.0,0.0
2025-10-24 08:42:09,2025-10-24T08:42:09,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.192,5.0,-33.452549,-70.56031,964.0,1.0,23.6,41.1,8.0,11.0,11.0,27.24,38.77,25.0,-33.452549,-70.56031,8.0,0.0
2025-10-24 08:42:12,2025-10-24T08:42:12,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.194,5.0,-33.452549,-70.56031,965.0,1.0,23.5,41.1,9.0,12.0,12.0,27.24,38.76,25.0,-33.452549,-70.56031,8.0,0.0
2025-10-24 08:42:15,2025-10-24T08:42:15,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.209,5.0,-33.452549,-70.56031,966.0,1.0,23.5,41.1,9.0,12.0,12.0,27.23,38.76,25.0,-33.452549,-70.56031,8.0,0.0
2025-10-24 08:42:18,2025-10-24T08:42:18,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.194,5.0,-33.452549,-70.56031,967.0,1.0,23.5,41.1,10.0,13.0,13.0,27.24,38.67,25.0,-33.452549,-70.56031,8.0,0.0
2025-10-24 08:42:21,2025-10-24T08:42:21,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.201,5.0,-33.452518,-70.560318,968.0,1.0,23.6,41.1,9.0,12.0,12.0,27.24,38.6,25.0,-33.452518,-70.560318,8.0,11.7
2025-10-24 08:42:24,2025-10-24T08:42:24,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.199,5.0,-33.452454,-70.560326,969.0,1.0,23.6,41.0,10.0,13.0,13.0,27.24,38.61,25.0,-33.452454,-70.560326,8.0,4.6
2025-10-24 08:42:27,2025-10-24T08:42:27,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.176,5.0,-33.452366,-70.560349,970.0,1.0,23.6,41.0,9.0,12.0,11.0,27.28,38.56,25.0,-33.452366,-70.560349,8.0,13.8
2025-10-24 08:42:30,2025-10-24T08:42:30,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.185,5.0,-33.452297,-70.560448,971.0,1.0,23.6,41.0,9.0,12.0,12.0,27.27,38.53,25.0,-33.452297,-70.560448,8.0,17.1
2025-10-24 08:42:33,2025-10-24T08:42:33,Sin sesión,,,,18,HIRIPRO-05,,27.75,4.167,5.0,-33.452293,-70.560608,972.0,1.0,23.6,41.0,9.0,12.0,12.0,27.24,38.62,25.0,-33.452293,-70.560608,8.0,14.7
