fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-11-19 10:16:13,2025-11-19T10:16:13,Sin sesión,,,,18,HIRIPRO-05,,24.75,3.978,5.0,0.0,0.0,55.0,1.0,21.1,29.6,1.0,2.0,2.0,25.85,26.2,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:16,2025-11-19T10:16:16,Sin sesión,,,,18,HIRIPRO-05,,24.75,3.974,5.0,0.0,0.0,56.0,1.0,21.1,29.9,2.0,2.0,2.0,25.91,25.14,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:19,2025-11-19T10:16:19,Sin sesión,,,,18,HIRIPRO-05,,24.75,3.956,5.0,0.0,0.0,57.0,1.0,21.2,29.7,2.0,3.0,3.0,25.89,22.85,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:22,2025-11-19T10:16:22,Sin sesión,,,,18,HIRIPRO-05,,24.75,3.968,5.0,0.0,0.0,58.0,1.0,21.2,29.1,1.0,2.0,2.0,25.95,21.15,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:25,2025-11-19T10:16:25,Sin sesión,,,,18,HIRIPRO-05,,24.75,3.96,5.0,0.0,0.0,59.0,1.0,21.2,28.6,1.0,2.0,2.0,25.99,20.14,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:28,2025-11-19T10:16:28,Sin sesión,,,,18,HIRIPRO-05,,24.75,3.985,5.0,0.0,0.0,60.0,1.0,21.2,28.0,0.0,1.0,1.0,26.02,19.66,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:31,2025-11-19T10:16:31,Sin sesión,,,,18,HIRIPRO-05,,25.0,3.948,5.0,0.0,0.0,61.0,1.0,21.2,27.6,1.0,1.0,1.0,26.03,19.19,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:34,2025-11-19T10:16:34,Sin sesión,,,,18,HIRIPRO-05,,25.0,3.971,5.0,0.0,0.0,62.0,1.0,21.2,27.1,1.0,2.0,2.0,26.09,18.71,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:37,2025-11-19T10:16:37,Sin sesión,,,,18,HIRIPRO-05,,25.0,3.967,5.0,0.0,0.0,63.0,1.0,21.3,26.7,1.0,2.0,2.0,26.12,18.37,15.0,0.0,0.0,0.0,0.0
2025-11-19 10:16:40,2025-11-19T10:16:40,Sin sesión,,,,18,HIRIPRO-05,,25.0,3.972,5.0,0.0,0.0,64.0,1.0,21.3,26.4,2.0,3.0,3.0,26.16,18.1,15.0,0.0,0.0,0.0,0.0
