fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-11-28T11:37:27,2025-11-28 11:37:27,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.901,7.0,-33.392208,-70.500832,446.0,1.0,,,,,,,,,6.0,0.0,"30441691, 30441692, 30441693, 30441694, 30441695, 30441696, 30441697, 30441698, 30441699"
2025-11-28T11:37:24,2025-11-28 11:37:24,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.906,7.0,-33.39222,-70.500832,445.0,1.0,19.5,49.0,4.0,13.0,10.0,18.0,-33.39222,-70.500832,5.0,0.0,"30441666, 30441667, 30441668, 30441669, 30441670, 30441671, 30441672, 30441673, 30441674, 30441675, 30441676, 30441677, 30441678, 30441679, 30441680, 30441681, 30441682"
2025-11-28T11:37:21,2025-11-28 11:37:21,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.918,7.0,-33.392212,-70.500824,444.0,1.0,19.5,49.0,3.0,12.0,10.0,18.0,-33.392212,-70.500824,5.0,0.0,"30441649, 30441650, 30441651, 30441652, 30441653, 30441654, 30441655, 30441656, 30441657, 30441658, 30441659, 30441660, 30441661, 30441662, 30441663, 30441664, 30441665"
2025-11-28T11:37:18,2025-11-28 11:37:18,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.922,7.0,-33.392212,-70.500824,443.0,1.0,19.5,48.8,3.0,13.0,11.0,18.0,-33.392212,-70.500824,5.0,0.0,"30441632, 30441633, 30441634, 30441635, 30441636, 30441637, 30441638, 30441639, 30441640, 30441641, 30441642, 30441643, 30441644, 30441645, 30441646, 30441647, 30441648"
2025-11-28T11:37:15,2025-11-28 11:37:15,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.919,7.0,-33.392212,-70.500824,442.0,1.0,19.5,48.9,4.0,14.0,12.0,18.0,-33.392212,-70.500824,6.0,0.0,"30441615, 30441616, 30441617, 30441618, 30441619, 30441620, 30441621, 30441622, 30441623, 30441624, 30441625, 30441626, 30441627, 30441628, 30441629, 30441630, 30441631"
2025-11-28T11:37:12,2025-11-28 11:37:12,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.906,7.0,-33.392212,-70.500824,441.0,1.0,19.4,48.8,4.0,14.0,13.0,18.0,-33.392212,-70.500824,6.0,0.0,"30441598, 30441599, 30441600, 30441601, 30441602, 30441603, 30441604, 30441605, 30441606, 30441607, 30441608, 30441609, 30441610, 30441611, 30441612, 30441613, 30441614"
2025-11-28T11:37:09,2025-11-28 11:37:09,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.896,7.0,-33.392212,-70.500824,440.0,1.0,19.4,48.9,4.0,14.0,13.0,18.0,-33.392212,-70.500824,6.0,0.0,"30441581, 30441582, 30441583, 30441584, 30441585, 30441586, 30441587, 30441588, 30441589, 30441590, 30441591, 30441592, 30441593, 30441594, 30441595, 30441596, 30441597"
2025-11-28T11:37:06,2025-11-28 11:37:06,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.905,7.0,-33.39222,-70.500832,439.0,1.0,19.4,48.9,3.0,13.0,12.0,18.0,-33.39222,-70.500832,5.0,0.0,"30441564, 30441565, 30441566, 30441567, 30441568, 30441569, 30441570, 30441571, 30441572, 30441573, 30441574, 30441575, 30441576, 30441577, 30441578, 30441579, 30441580"
2025-11-28T11:37:03,2025-11-28 11:37:03,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.905,7.0,-33.392223,-70.500839,438.0,1.0,19.4,48.8,4.0,14.0,13.0,18.0,-33.392223,-70.500839,6.0,0.0,"30441547, 30441548, 30441549, 30441550, 30441551, 30441552, 30441553, 30441554, 30441555, 30441556, 30441557, 30441558, 30441559, 30441560, 30441561, 30441562, 30441563"
2025-11-28T11:37:00,2025-11-28 11:37:00,Sin sesión,,,,18,HIRIPRO-07,,25.0,3.906,7.0,-33.392231,-70.500839,437.0,1.0,19.4,48.7,4.0,14.0,13.0,18.0,-33.392231,-70.500839,6.0,0.0,"30441530, 30441531, 30441532, 30441533, 30441534, 30441535, 30441536, 30441537, 30441538, 30441539, 30441540, 30441541, 30441542, 30441543, 30441544, 30441545, 30441546"
