fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-11-28T19:25:15,2025-11-28 19:25:15,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.76,7.0,-33.454754,-70.627609,658.0,1.0,,,,1.0,1.0,31.0,-33.454754,-70.627609,9.0,6.5,"30525624, 30525625, 30525626, 30525627, 30525628, 30525629, 30525630, 30525631, 30525632, 30525633, 30525634, 30525635, 30525636, 30525637"
2025-11-28T19:25:12,2025-11-28 19:25:12,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.778,7.0,-33.454773,-70.62767,657.0,1.0,23.4,31.2,0.0,0.0,0.0,31.0,-33.454773,-70.62767,8.0,7.3,"30525604, 30525605, 30525606, 30525607, 30525608, 30525609, 30525610, 30525611, 30525612, 30525613, 30525614, 30525615, 30525616, 30525617, 30525618, 30525619, 30525620"
2025-11-28T19:25:09,2025-11-28 19:25:09,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.764,7.0,-33.454788,-70.627724,656.0,1.0,23.3,31.0,0.0,0.0,0.0,31.0,-33.454788,-70.627724,8.0,4.6,"30525587, 30525588, 30525589, 30525590, 30525591, 30525592, 30525593, 30525594, 30525595, 30525596, 30525597, 30525598, 30525599, 30525600, 30525601, 30525602, 30525603"
2025-11-28T19:25:06,2025-11-28 19:25:06,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.784,7.0,-33.454788,-70.627731,655.0,1.0,23.4,31.0,0.0,0.0,0.0,31.0,-33.454788,-70.627731,8.0,0.0,"30525570, 30525571, 30525572, 30525573, 30525574, 30525575, 30525576, 30525577, 30525578, 30525579, 30525580, 30525581, 30525582, 30525583, 30525584, 30525585, 30525586"
2025-11-28T19:25:03,2025-11-28 19:25:03,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.798,7.0,-33.454788,-70.627731,654.0,1.0,23.3,31.0,0.0,0.0,0.0,31.0,-33.454788,-70.627731,8.0,0.0,"30525553, 30525554, 30525555, 30525556, 30525557, 30525558, 30525559, 30525560, 30525561, 30525562, 30525563, 30525564, 30525565, 30525566, 30525567, 30525568, 30525569"
2025-11-28T19:24:59,2025-11-28 19:24:59,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.798,7.0,-33.454788,-70.627731,653.0,1.0,23.4,31.3,0.0,0.0,0.0,31.0,-33.454788,-70.627731,8.0,0.0,"30525536, 30525537, 30525538, 30525539, 30525540, 30525541, 30525542, 30525543, 30525544, 30525545, 30525546, 30525547, 30525548, 30525549, 30525550, 30525551, 30525552"
2025-11-28T19:24:56,2025-11-28 19:24:56,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.792,7.0,-33.454788,-70.627731,652.0,1.0,23.3,31.1,0.0,2.0,2.0,31.0,-33.454788,-70.627731,9.0,0.0,"30525519, 30525520, 30525521, 30525522, 30525523, 30525524, 30525525, 30525526, 30525527, 30525528, 30525529, 30525530, 30525531, 30525532, 30525533, 30525534, 30525535"
2025-11-28T19:24:53,2025-11-28 19:24:53,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.787,7.0,-33.454788,-70.627731,651.0,1.0,23.3,31.3,0.0,2.0,2.0,31.0,-33.454788,-70.627731,9.0,0.0,"30525502, 30525503, 30525504, 30525505, 30525506, 30525507, 30525508, 30525509, 30525510, 30525511, 30525512, 30525513, 30525514, 30525515, 30525516, 30525517, 30525518"
2025-11-28T19:24:50,2025-11-28 19:24:50,Sin sesión,,,,18,HIRIPRO-07,,30.75,3.768,7.0,-33.454788,-70.627731,650.0,1.0,23.4,31.3,0.0,1.0,1.0,31.0,-33.454788,-70.627731,9.0,0.0,"30525485, 30525486, 30525487, 30525488, 30525489, 30525490, 30525491, 30525492, 30525493, 30525494, 30525495, 30525496, 30525497, 30525498, 30525499, 30525500, 30525501"
2025-11-28T19:24:47,2025-11-28 19:24:47,Sin sesión,,,,18,HIRIPRO-07,,31.0,3.783,7.0,-33.454788,-70.627731,649.0,1.0,23.4,31.2,0.0,2.0,2.0,31.0,-33.454788,-70.627731,9.0,0.0,"30525468, 30525469, 30525470, 30525471, 30525472, 30525473, 30525474, 30525475, 30525476, 30525477, 30525478, 30525479, 30525480, 30525481, 30525482, 30525483, 30525484"
