fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-08-18 10:49:14,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,16.5,19.0,11.92,0.0,11.03,17.0
2025-08-18 11:04:11,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,16.75,19.0,11.91,0.0,11.01,17.0
2025-08-18 11:19:08,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,16.81,19.25,11.91,0.0,11.04,17.0
2025-08-18 11:34:05,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.0,19.25,11.9,0.0,11.06,17.0
2025-08-18 11:49:54,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.19,20.0,11.91,0.0,11.08,18.0
2025-08-18 12:04:51,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.25,20.0,11.92,0.0,11.09,18.0
2025-08-18 12:19:48,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.38,20.0,11.92,0.0,11.1,18.0
2025-08-18 12:34:45,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.5,20.25,11.91,0.0,11.1,18.0
2025-08-18 12:50:35,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.69,20.75,11.93,0.0,11.11,19.0
2025-08-18 13:05:31,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.75,20.75,11.92,0.0,11.12,19.0
2025-08-18 13:20:28,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.88,20.75,11.92,0.0,11.13,19.0
2025-08-18 13:35:24,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.0,21.0,11.92,0.0,11.14,19.0
2025-08-18 13:51:13,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.12,21.5,11.92,0.0,11.14,18.0
2025-08-18 14:06:10,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.25,21.5,11.91,0.0,11.13,18.0
2025-08-18 14:21:06,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.38,21.5,11.89,0.0,11.15,18.0
2025-08-18 14:36:03,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.5,21.75,11.89,0.0,11.12,18.0
2025-08-29 12:30:47,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,-999.0,28.75,11.9,1364.0,6.41,17.0
2025-08-29 13:13:29,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,-999.0,28.25,11.88,1374.0,6.42,20.0
2025-08-29 14:48:21,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,85.0,28.75,11.83,1385.0,6.7,18.0
2025-08-29 14:59:03,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.94,28.25,11.84,1382.0,6.72,19.0
2025-08-29 17:04:07,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.81,29.25,12.18,1394.0,6.5,16.0
2025-08-29 17:28:05,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,19.19,29.25,12.15,1398.0,6.52,19.0
2025-08-29 17:38:47,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,19.31,29.25,12.1,1399.0,6.55,17.0
2025-08-29 20:45:36,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.38,28.0,11.96,1363.0,6.79,18.0
2025-08-29 20:56:18,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,18.31,29.5,11.95,1359.0,6.8,16.0
2025-09-04 17:18:01,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.38,26.0,12.01,1446.0,6.68,18.0
2025-09-04 17:29:17,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.44,27.25,11.99,1446.0,6.66,17.0
2025-09-04 18:16:30,2025-10-22T15:10:22,Sin sesión,,,,13,AGUA-00,Estación de prueba para calidad de Agua,17.56,27.5,11.96,1453.0,6.73,18.0
