fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-12-16T12:34:58,2025-12-16 12:34:58,Sin sesión,,,,18,HIRIPRO-02,,,,,,,,1.0,,,,,,,,,,,32355006
2025-12-16T12:34:56,2025-12-16 12:34:56,Sin sesión,,,,18,HIRIPRO-02,,41.5,0.0,2.0,0.0,0.0,2111.0,1.0,30.6,26.2,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,"32354973, 32354974, 32354975, 32354976, 32354977, 32354978, 32354979, 32354980, 32354981, 32354982, 32354983, 32354984, 32354985, 32354986, 32354987, 32354988, 32354989"
2025-12-16T12:34:52,2025-12-16 12:34:52,Sin sesión,,,,18,HIRIPRO-02,,41.5,0.0,2.0,0.0,0.0,2110.0,1.0,30.6,25.9,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,"32354956, 32354957, 32354958, 32354959, 32354960, 32354961, 32354962, 32354963, 32354964, 32354965, 32354966, 32354967, 32354968, 32354969, 32354970, 32354971, 32354972"
2025-12-16T12:34:49,2025-12-16 12:34:49,Sin sesión,,,,18,HIRIPRO-02,,41.5,0.0,2.0,0.0,0.0,2109.0,1.0,30.6,26.1,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,"32354928, 32354929, 32354930, 32354931, 32354932, 32354933, 32354934, 32354935, 32354936, 32354937, 32354938, 32354939, 32354940, 32354941, 32354942, 32354943, 32354944"
2025-12-16T12:34:46,2025-12-16 12:34:46,Sin sesión,,,,18,HIRIPRO-02,,41.5,0.0,2.0,0.0,0.0,2108.0,1.0,30.6,26.1,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,"32354911, 32354912, 32354913, 32354914, 32354915, 32354916, 32354917, 32354918, 32354919, 32354920, 32354921, 32354922, 32354923, 32354924, 32354925, 32354926, 32354927"
2025-12-16T12:34:43,2025-12-16 12:34:43,Sin sesión,,,,18,HIRIPRO-02,,41.25,0.0,2.0,0.0,0.0,2107.0,1.0,30.6,26.3,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,"32354886, 32354887, 32354888, 32354889, 32354890, 32354891, 32354892, 32354893, 32354894, 32354895, 32354896, 32354897, 32354898, 32354899, 32354900, 32354901, 32354902"
2025-12-16T12:34:41,2025-12-16 12:34:41,Sin sesión,,,,18,HIRIPRO-02,,41.25,0.0,2.0,0.0,0.0,2106.0,1.0,30.6,26.1,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,"32354869, 32354870, 32354871, 32354872, 32354873, 32354874, 32354875, 32354876, 32354877, 32354878, 32354879, 32354880, 32354881, 32354882, 32354883, 32354884, 32354885"
2025-12-16T12:34:37,2025-12-16 12:34:37,Sin sesión,,,,18,HIRIPRO-02,,41.5,0.0,2.0,0.0,0.0,2105.0,1.0,30.5,26.3,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,"32354852, 32354853, 32354854, 32354855, 32354856, 32354857, 32354858, 32354859, 32354860, 32354861, 32354862, 32354863, 32354864, 32354865, 32354866, 32354867, 32354868"
2025-12-16T12:34:34,2025-12-16 12:34:34,Sin sesión,,,,18,HIRIPRO-02,,41.25,0.0,2.0,0.0,0.0,2104.0,1.0,30.6,26.2,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,"32354835, 32354836, 32354837, 32354838, 32354839, 32354840, 32354841, 32354842, 32354843, 32354844, 32354845, 32354846, 32354847, 32354848, 32354849, 32354850, 32354851"
2025-12-16T12:34:31,2025-12-16 12:34:31,Sin sesión,,,,18,HIRIPRO-02,,41.5,0.0,2.0,0.0,0.0,2103.0,1.0,30.6,26.1,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,"32354818, 32354819, 32354820, 32354821, 32354822, 32354823, 32354824, 32354825, 32354826, 32354827, 32354828, 32354829, 32354830, 32354831, 32354832, 32354833, 32354834"
