fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (uS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-12-17T00:31:17,2025-12-17 00:32:37,Sin sesión,,,,13,AGUA-02,,0.0,24.75,12.24,0.0,0.0,9.0
2025-12-17T02:37:20,2025-12-17 02:38:26,Sin sesión,,,,13,AGUA-02,,0.0,22.75,12.2,0.0,0.0,17.0
2025-12-17T03:40:17,2025-12-17 03:41:08,Sin sesión,,,,13,AGUA-02,,0.0,21.5,12.18,0.0,0.0,20.0
2025-12-17T04:43:00,2025-12-17 04:43:50,Sin sesión,,,,13,AGUA-02,,0.0,20.75,12.18,0.0,0.0,18.0
2025-12-17T05:45:40,2025-12-17 05:46:42,Sin sesión,,,,13,AGUA-02,,0.0,20.0,12.18,0.0,0.0,18.0
2025-12-17T06:48:38,2025-12-17 06:49:20,Sin sesión,,,,13,AGUA-02,,0.0,19.75,12.18,0.0,0.0,20.0
2025-12-17T07:51:15,2025-12-17 07:51:57,Sin sesión,,,,13,AGUA-02,,0.0,20.75,12.18,0.0,0.0,21.0
2025-12-17T08:54:01,2025-12-17 08:54:42,Sin sesión,,,,13,AGUA-02,,0.0,22.25,12.19,0.0,0.0,20.0
2025-12-17T09:56:48,2025-12-17 09:57:39,Sin sesión,,,,13,AGUA-02,,0.0,24.5,12.19,0.0,0.0,18.0
2025-12-17T10:59:44,2025-12-17 11:00:35,Sin sesión,,,,13,AGUA-02,,0.0,27.25,12.23,0.0,0.0,16.0
2025-12-17T12:02:42,2025-12-17 12:03:24,Sin sesión,,,,13,AGUA-02,,0.0,29.5,12.24,0.0,0.0,21.0
2025-12-17T13:05:25,2025-12-17 13:06:07,Sin sesión,,,,13,AGUA-02,,0.0,31.5,12.25,0.0,0.0,22.0
2025-12-17T14:08:13,2025-12-17 14:09:15,Sin sesión,,,,13,AGUA-02,,0.0,34.25,12.25,0.0,0.0,20.0
2025-12-17T15:11:25,2025-12-17 15:12:07,Sin sesión,,,,13,AGUA-02,,0.0,38.0,12.27,0.0,0.0,21.0
2025-12-17T16:14:09,2025-12-17 16:15:00,Sin sesión,,,,13,AGUA-02,,0.0,40.0,12.29,0.0,0.0,19.0
2025-12-17T17:16:59,2025-12-17 17:17:41,Sin sesión,,,,13,AGUA-02,,0.0,40.5,12.3,0.0,0.0,21.0
2025-12-17T18:19:33,2025-12-17 18:20:15,Sin sesión,,,,13,AGUA-02,,0.0,37.5,12.29,0.0,0.0,20.0
2025-12-17T19:21:41,2025-12-17 19:22:42,Sin sesión,,,,13,AGUA-02,,0.0,33.0,12.29,0.0,0.0,19.0
2025-12-17T20:24:27,2025-12-17 20:25:09,Sin sesión,,,,13,AGUA-02,,0.0,30.25,12.27,0.0,0.0,20.0
2025-12-17T21:26:52,2025-12-17 21:28:11,Sin sesión,,,,13,AGUA-02,,0.0,27.5,12.25,0.0,0.0,9.0
2025-12-17T23:32:52,2025-12-17 23:33:33,Sin sesión,,,,13,AGUA-02,,0.0,24.0,12.24,0.0,0.0,20.0
2025-12-18T00:35:24,2025-12-18 00:36:15,Sin sesión,,,,13,AGUA-02,,0.0,22.75,12.2,0.0,0.0,19.0
2025-12-18T01:38:06,2025-12-18 01:38:57,Sin sesión,,,,13,AGUA-02,,0.0,21.75,12.21,0.0,0.0,19.0
2025-12-18T02:40:49,2025-12-18 02:41:31,Sin sesión,,,,13,AGUA-02,,0.0,21.0,12.2,0.0,0.0,20.0
2025-12-18T03:43:21,2025-12-18 03:44:03,Sin sesión,,,,13,AGUA-02,,0.0,20.25,12.19,0.0,0.0,19.0
2025-12-18T04:45:58,2025-12-18 05:51:03,Sin sesión,,,,13,AGUA-02,,0.0,19.75,12.19,0.0,0.0,10.0
2025-12-18T06:53:22,2025-12-18 06:54:06,Sin sesión,,,,13,AGUA-02,,0.0,18.5,12.18,0.0,0.0,19.0
2025-12-18T07:56:04,2025-12-18 07:56:46,Sin sesión,,,,13,AGUA-02,,0.0,19.75,12.19,0.0,0.0,21.0
