fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (uS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-06T04:01:13,2025-11-06 04:02:00,Sin sesión,,,,13,AGUA-02,,20.56,18.5,12.22,1529.0,8.02,22.0
2025-11-06T05:02:04,2025-11-06 05:02:51,Sin sesión,,,,13,AGUA-02,,20.25,19.0,12.22,1524.0,8.0,23.0
2025-11-06T06:02:55,2025-11-06 06:03:48,Sin sesión,,,,13,AGUA-02,,19.94,19.0,12.2,1510.0,7.99,21.0
2025-11-06T07:03:52,2025-11-06 07:04:36,Sin sesión,,,,13,AGUA-02,,19.69,19.0,12.18,1504.0,7.97,21.0
2025-11-06T08:04:40,2025-11-06 08:05:33,Sin sesión,,,,13,AGUA-02,,19.5,19.5,12.2,1500.0,7.98,23.0
2025-11-06T09:05:40,2025-11-06 09:07:02,Sin sesión,,,,13,AGUA-02,,19.31,20.0,12.2,1493.0,8.01,7.0
2025-11-06T10:07:10,2025-11-06 10:08:14,Sin sesión,,,,13,AGUA-02,,19.44,20.5,12.24,1489.0,8.04,7.0
2025-11-06T12:10:56,2025-11-06 12:11:51,Sin sesión,,,,13,AGUA-02,,19.0,23.25,12.24,1497.0,7.99,11.0
2025-11-06T13:12:16,2025-11-06 13:13:01,Sin sesión,,,,13,AGUA-02,,19.12,25.25,12.24,1503.0,7.89,21.0
2025-11-06T14:13:08,2025-11-06 14:13:53,Sin sesión,,,,13,AGUA-02,,19.31,26.0,12.26,1507.0,7.92,23.0
2025-11-06T15:14:00,2025-11-06 15:15:28,Sin sesión,,,,13,AGUA-02,,19.81,29.75,12.28,1523.0,7.71,12.0
2025-11-06T17:16:46,2025-11-06 17:17:32,Sin sesión,,,,13,AGUA-02,,20.0,28.75,12.28,1513.0,8.02,24.0
2025-11-06T18:17:36,2025-11-06 18:18:30,Sin sesión,,,,13,AGUA-02,,19.69,26.0,12.29,1497.0,8.13,22.0
2025-11-06T19:18:27,2025-11-06 19:19:11,Sin sesión,,,,13,AGUA-02,,19.19,23.75,12.27,1480.0,8.22,23.0
2025-11-06T20:19:04,2025-11-06 20:20:31,Sin sesión,,,,13,AGUA-02,,19.5,21.75,12.25,1463.0,8.24,9.0
2025-11-06T21:20:30,2025-11-06 21:21:33,Sin sesión,,,,13,AGUA-02,,19.81,20.75,12.24,1461.0,8.22,8.0
2025-11-06T22:21:44,2025-11-06 22:22:28,Sin sesión,,,,13,AGUA-02,,19.25,20.25,12.23,1453.0,8.2,24.0
2025-11-06T23:22:32,2025-11-06 23:23:18,Sin sesión,,,,13,AGUA-02,,19.12,20.0,12.22,1450.0,8.17,23.0
2025-11-07T00:23:21,2025-11-07 00:24:26,Sin sesión,,,,13,AGUA-02,,19.06,19.75,12.22,1445.0,8.16,24.0
2025-11-07T01:24:30,2025-11-07 01:25:14,Sin sesión,,,,13,AGUA-02,,18.56,19.5,12.22,1440.0,8.13,21.0
2025-11-07T02:25:15,2025-11-07 02:26:09,Sin sesión,,,,13,AGUA-02,,18.31,18.75,12.2,1433.0,8.12,24.0
2025-11-07T03:26:07,2025-11-07 03:26:51,Sin sesión,,,,13,AGUA-02,,18.06,17.25,12.19,1427.0,8.12,21.0
2025-11-07T04:26:52,2025-11-07 04:27:36,Sin sesión,,,,13,AGUA-02,,17.94,16.5,12.18,1422.0,8.11,19.0
2025-11-07T05:27:38,2025-11-07 05:28:57,Sin sesión,,,,13,AGUA-02,,17.69,15.25,12.18,1412.0,8.1,9.0
2025-11-07T06:28:56,2025-11-07 06:29:52,Sin sesión,,,,13,AGUA-02,,17.62,14.5,12.18,1405.0,8.11,9.0
2025-11-07T07:30:08,2025-11-07 07:31:35,Sin sesión,,,,13,AGUA-02,,17.06,15.0,12.18,1397.0,8.11,9.0
2025-11-07T08:31:45,2025-11-07 08:32:43,Sin sesión,,,,13,AGUA-02,,16.94,16.75,12.18,1396.0,8.12,9.0
2025-11-07T09:33:10,2025-11-07 09:34:07,Sin sesión,,,,13,AGUA-02,,16.81,19.75,12.22,1403.0,7.87,22.0
2025-11-07T10:34:22,2025-11-07 10:35:06,Sin sesión,,,,13,AGUA-02,,17.25,21.75,12.21,1411.0,7.91,24.0
2025-11-07T11:35:20,2025-11-07 11:36:04,Sin sesión,,,,13,AGUA-02,,17.94,23.75,12.24,1431.0,8.05,22.0
2025-11-07T12:36:18,2025-11-07 12:37:22,Sin sesión,,,,13,AGUA-02,,20.31,25.75,12.24,1446.0,7.17,23.0
2025-11-07T13:37:42,2025-11-07 13:39:12,Sin sesión,,,,13,AGUA-02,,19.69,29.75,12.25,1464.0,6.86,8.0
2025-11-07T14:39:26,2025-11-07 14:40:27,Sin sesión,,,,13,AGUA-02,,20.25,33.5,12.28,1481.0,6.67,8.0
2025-11-07T15:40:59,2025-11-07 15:41:46,Sin sesión,,,,13,AGUA-02,,21.31,37.0,12.3,1498.0,6.92,23.0
2025-11-07T16:42:00,2025-11-07 16:42:45,Sin sesión,,,,13,AGUA-02,,21.62,38.5,12.31,1492.0,7.29,24.0
2025-11-07T17:42:39,2025-11-07 17:44:04,Sin sesión,,,,13,AGUA-02,,22.38,38.75,12.31,1499.0,7.46,9.0
2025-11-07T18:44:15,2025-11-07 18:45:15,Sin sesión,,,,13,AGUA-02,,23.69,35.75,12.31,1495.0,7.73,10.0
2025-11-07T19:45:23,2025-11-07 19:46:28,Sin sesión,,,,13,AGUA-02,,21.19,31.25,12.3,1452.0,8.01,21.0
2025-11-07T20:46:08,2025-11-07 20:47:04,Sin sesión,,,,13,AGUA-02,,20.81,27.0,12.25,1422.0,8.14,25.0
2025-11-07T21:46:57,2025-11-07 21:47:41,Sin sesión,,,,13,AGUA-02,,20.62,24.75,12.26,1408.0,8.16,23.0
2025-11-07T22:47:34,2025-11-07 22:48:18,Sin sesión,,,,13,AGUA-02,,20.62,22.25,12.24,1396.0,8.18,23.0
2025-11-07T23:48:11,2025-11-07 23:49:05,Sin sesión,,,,13,AGUA-02,,20.25,20.5,12.24,1386.0,8.16,19.0
2025-11-08T00:49:03,2025-11-08 00:49:57,Sin sesión,,,,13,AGUA-02,,20.0,19.5,12.23,1376.0,8.13,23.0
2025-11-08T01:49:57,2025-11-08 01:51:02,Sin sesión,,,,13,AGUA-02,,19.81,18.75,12.23,1368.0,8.14,23.0
2025-11-08T02:51:01,2025-11-08 02:52:06,Sin sesión,,,,13,AGUA-02,,19.56,17.75,12.19,1360.0,8.11,19.0
2025-11-08T03:52:05,2025-11-08 03:52:59,Sin sesión,,,,13,AGUA-02,,19.38,16.75,12.19,1358.0,8.09,21.0
2025-11-08T05:53:52,2025-11-08 05:54:36,Sin sesión,,,,13,AGUA-02,,18.81,15.0,12.18,1344.0,8.05,22.0
2025-11-08T08:57:39,2025-11-08 08:58:37,Sin sesión,,,,13,AGUA-02,,17.81,18.75,12.19,1336.0,7.95,8.0
2025-11-08T09:59:06,2025-11-08 10:00:00,Sin sesión,,,,13,AGUA-02,,18.19,21.5,12.22,1339.0,7.56,19.0
2025-11-08T11:00:15,2025-11-08 11:01:00,Sin sesión,,,,13,AGUA-02,,18.69,24.5,12.24,1340.0,7.91,23.0
2025-11-08T12:01:14,2025-11-08 12:02:07,Sin sesión,,,,13,AGUA-02,,19.25,26.25,12.24,1353.0,7.55,21.0
2025-11-08T13:02:20,2025-11-08 13:03:05,Sin sesión,,,,13,AGUA-02,,20.0,28.25,12.24,1361.0,7.66,24.0
2025-11-08T14:03:16,2025-11-08 14:04:01,Sin sesión,,,,13,AGUA-02,,21.5,29.75,12.25,1512.0,7.63,24.0
2025-11-08T15:04:19,2025-11-08 15:05:13,Sin sesión,,,,13,AGUA-02,,24.06,33.0,12.28,1617.0,7.61,24.0
2025-11-08T16:05:26,2025-11-08 16:06:20,Sin sesión,,,,13,AGUA-02,,25.06,34.5,12.28,1635.0,7.72,24.0
2025-11-08T17:06:27,2025-11-08 17:07:58,Sin sesión,,,,13,AGUA-02,,22.19,34.0,12.3,1640.0,7.93,7.0
2025-11-08T18:07:55,2025-11-08 18:08:57,Sin sesión,,,,13,AGUA-02,,22.19,32.5,12.3,1630.0,8.05,8.0
2025-11-08T19:08:57,2025-11-08 19:09:50,Sin sesión,,,,13,AGUA-02,,22.06,30.0,12.3,1615.0,8.15,21.0
