fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-12 20:35:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1863.392,6467.0,4954.0,0.0,0.0,0.0,17.5,42.9,92.4,0.0,0.0,33.0,12.12,11367.85,535.0,37202.0,4853.0,5132.0,3781.0,3749.0,3930.0,3765.0,18.4,36.5,0.0,0.0,31.0,0.0,0.0,0.0,0.0,18.0
2025-10-12 20:40:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1863.2679,6514.0,5026.0,0.0,0.0,0.0,17.3,45.0,92.4,0.0,0.0,32.5,12.08,11355.05,521.0,37221.0,4764.0,5143.0,3830.0,3766.0,3956.0,3773.0,18.2,36.7,0.0,0.0,31.0,0.0,0.0,0.0,0.0,20.0
2025-10-12 20:45:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1863.318,6370.0,4983.0,0.0,0.0,0.0,16.9,47.7,92.4,0.0,0.0,32.25,12.08,11375.94,544.0,37190.0,4779.0,5100.0,3761.0,3760.0,3945.0,3775.0,17.9,38.3,0.0,0.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-12 20:50:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1863.215,6571.0,5240.0,0.0,0.0,0.0,16.5,48.9,92.4,0.0,0.0,32.0,12.12,11371.22,537.0,37197.0,5069.0,5447.0,4101.0,4042.0,4003.0,3946.0,17.7,39.1,1.0,0.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-12 20:55:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1864.131,6302.0,5053.0,0.0,0.0,0.0,16.0,52.7,92.4,0.0,0.0,31.75,12.12,11379.98,548.0,37184.0,4712.0,5036.0,3736.0,3724.0,3920.0,3724.0,17.4,40.4,0.0,0.0,31.0,0.0,0.0,0.0,0.0,24.0
2025-10-12 21:00:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.4969,6306.0,5051.0,0.0,0.0,0.0,15.7,53.4,92.4,0.0,0.0,31.5,12.12,11374.59,518.0,37192.0,4701.0,5071.0,3784.0,3776.0,3939.0,3730.0,17.1,40.9,0.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-12 21:05:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1865.681,6310.0,5002.0,0.0,0.0,0.0,15.4,53.0,92.4,0.0,0.0,31.0,12.08,11392.12,539.0,37166.0,4746.0,5061.0,3729.0,3727.0,3899.0,3760.0,16.9,41.9,0.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-12 21:10:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.193,6419.0,5013.0,0.0,0.0,0.0,15.0,55.3,92.5,0.0,0.0,30.75,12.12,11378.64,525.0,37186.0,4698.0,5038.0,3767.0,3737.0,3927.0,3732.0,16.6,42.4,0.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-12 21:15:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.851,6486.0,4975.0,0.0,0.0,0.0,14.7,57.0,92.5,0.0,0.0,30.25,12.08,11394.14,543.0,37163.0,4742.0,5089.0,3833.0,3770.0,3956.0,3791.0,16.4,43.1,0.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-12 21:20:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.562,6620.0,5065.0,0.0,0.0,0.0,14.4,57.6,92.5,0.0,0.0,30.0,12.08,11390.77,542.0,37168.0,4664.0,5052.0,3841.0,3783.0,3985.0,3784.0,16.1,43.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-12 21:25:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.042,6730.0,5105.0,0.0,0.0,0.0,14.4,59.3,92.5,0.0,0.0,29.75,12.08,11396.83,547.0,37159.0,4647.0,5062.0,3802.0,3775.0,3971.0,3787.0,16.0,43.8,1.0,0.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-12 21:30:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.599,7046.0,5123.0,0.0,0.0,0.0,14.2,59.1,92.5,0.0,0.0,29.5,12.08,11397.51,545.0,37158.0,4710.0,5086.0,3830.0,3786.0,3923.0,3793.0,15.8,43.8,0.0,0.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-12 21:35:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.199,6867.0,5131.0,0.0,0.0,0.0,14.0,57.4,92.5,0.0,0.0,29.25,12.08,11394.14,545.0,37163.0,4731.0,5027.0,3812.0,3773.0,3902.0,3784.0,15.7,44.4,1.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-12 21:40:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.334,6887.0,5080.0,0.0,0.0,0.0,14.0,60.6,92.5,0.0,0.0,29.0,12.08,11406.94,547.0,37144.0,4709.0,5038.0,3840.0,3779.0,3943.0,3813.0,15.5,45.8,1.0,1.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-12 21:45:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.1591,6999.0,5132.0,0.0,0.0,0.0,13.8,61.5,92.5,0.0,0.0,28.75,12.08,11408.29,545.0,37142.0,4654.0,5025.0,3849.0,3789.0,3951.0,3814.0,15.4,46.5,1.0,0.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-12 21:50:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.675,7099.0,5140.0,0.0,0.0,0.0,13.7,64.1,92.5,0.0,0.0,28.75,12.08,11417.05,558.0,37129.0,4667.0,4975.0,3777.0,3748.0,3884.0,3753.0,15.3,47.0,1.0,1.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-12 21:55:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.85,7299.0,5144.0,0.0,0.0,0.0,13.6,63.7,92.5,0.0,0.0,28.5,12.08,11415.71,558.0,37131.0,4668.0,5048.0,3860.0,3790.0,3926.0,3808.0,15.1,47.2,1.0,1.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-12 22:00:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.375,7331.0,5088.0,0.0,0.0,0.0,13.6,61.7,92.5,0.0,0.0,28.25,12.08,11416.38,556.0,37130.0,4618.0,4968.0,3765.0,3746.0,3898.0,3756.0,15.0,46.9,0.0,0.0,31.0,0.0,0.0,0.0,0.0,20.0
2025-10-12 22:05:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.25,7553.0,5174.0,0.0,0.0,0.0,13.5,65.3,92.5,0.0,0.0,28.25,12.08,11423.12,565.0,37120.0,4629.0,4985.0,3839.0,3749.0,3879.0,3757.0,14.9,48.5,1.0,1.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-12 22:10:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.5649,7384.0,5203.0,0.0,0.0,0.0,13.6,62.2,92.5,0.0,0.0,28.0,12.08,11422.45,562.0,37121.0,4650.0,4989.0,3788.0,3750.0,3877.0,3773.0,14.8,47.8,1.0,1.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-12 22:15:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.981,7421.0,5135.0,0.0,0.0,0.0,13.5,64.2,92.5,0.0,0.0,28.0,12.12,11424.47,569.0,37118.0,4545.0,4971.0,3850.0,3755.0,3953.0,3790.0,14.7,48.8,1.0,1.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-12 22:20:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.493,7414.0,5179.0,0.0,0.0,0.0,13.5,64.7,92.5,0.0,0.0,28.0,12.12,11429.86,576.0,37110.0,4689.0,4993.0,3821.0,3756.0,3918.0,3792.0,14.7,49.4,1.0,1.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-12 22:25:30,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.8879,7379.0,5261.0,0.0,0.0,0.0,13.2,65.2,92.5,0.0,0.0,27.75,12.08,11417.05,558.0,37129.0,4615.0,4980.0,3770.0,3758.0,3870.0,3764.0,14.6,49.6,1.0,1.0,31.0,0.0,0.0,0.0,0.0,22.0
