fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-09-21 15:03:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.5129,5691.0,5597.0,1.0,0.0,0.0,15.8,44.6,91.3,157.0,0.6,31.75,12.12,11342.91,505.0,37239.0,4952.0,5115.0,3587.0,3747.0,3737.0,3752.0,17.1,41.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,18.0
2025-09-21 15:08:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.72,5971.0,5702.0,0.0,0.0,0.0,16.3,42.0,91.3,53.0,0.5,31.75,12.08,11338.87,503.0,37245.0,5062.0,5196.0,3643.0,3815.0,3813.0,3813.0,17.3,41.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,19.0
2025-09-21 15:13:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.944,5854.0,5837.0,0.0,0.0,0.0,16.0,42.8,91.3,63.0,0.5,32.0,12.04,11339.54,501.0,37244.0,5160.0,5334.0,3781.0,3925.0,3975.0,3977.0,17.2,40.7,0.0,0.0,15.0,0.0,0.0,0.0,0.0,19.0
2025-09-21 15:18:38,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.842,5805.0,5662.0,0.0,0.0,0.0,15.9,43.0,91.3,36.0,0.7,32.0,12.08,11330.78,489.0,37257.0,4976.0,5185.0,3641.0,3783.0,3799.0,3786.0,17.1,40.6,0.0,0.0,14.0,0.0,0.0,0.0,0.0,19.0
2025-09-21 15:28:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.484,5663.0,5550.0,0.0,0.0,0.0,15.1,44.2,91.3,47.0,0.7,31.75,12.08,11336.85,482.0,37248.0,4874.0,5073.0,3606.0,3733.0,3771.0,3728.0,16.7,40.5,0.0,0.0,14.0,0.0,0.0,0.0,0.0,18.0
2025-09-21 15:33:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.781,5689.0,5528.0,0.0,0.0,0.0,14.9,46.2,91.3,47.0,0.7,31.5,12.08,11335.5,483.0,37250.0,4978.0,5128.0,3674.0,3786.0,3810.0,3790.0,16.5,41.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0
2025-09-21 15:38:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.564,5718.0,5499.0,0.0,0.0,0.0,14.6,44.8,91.3,142.0,0.9,31.25,12.08,11341.57,489.0,37241.0,4910.0,5094.0,3672.0,3782.0,3816.0,3795.0,16.3,41.2,1.0,0.0,14.0,0.0,0.0,0.0,0.0,17.0
2025-09-21 15:43:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.572,5936.0,5566.0,0.0,0.0,0.0,15.3,44.2,91.3,142.0,0.8,31.5,12.08,11338.87,484.0,37245.0,4904.0,5144.0,3687.0,3797.0,3867.0,3823.0,16.4,41.6,0.0,0.0,14.0,0.0,0.0,0.0,0.0,18.0
2025-09-21 15:48:38,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1863.022,6534.0,5499.0,0.0,0.0,0.0,17.2,38.8,91.3,92.0,0.7,31.75,12.08,11338.87,501.0,37245.0,5196.0,5309.0,3764.0,3985.0,3951.0,3961.0,17.0,40.9,0.0,0.0,14.0,0.0,0.0,0.0,0.0,18.0
2025-09-21 15:53:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1863.045,6092.0,5862.0,0.0,0.0,0.0,15.9,41.7,91.3,57.0,0.6,32.25,12.08,11338.87,499.0,37245.0,4921.0,5133.0,3646.0,3765.0,3804.0,3775.0,17.3,39.5,0.0,0.0,14.0,0.0,0.0,0.0,0.0,18.0
2025-09-21 16:03:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.944,6167.0,5783.0,0.0,0.0,0.0,15.2,44.4,91.3,73.0,0.8,32.25,12.08,11342.24,489.0,37240.0,4985.0,5146.0,3640.0,3789.0,3852.0,3787.0,17.0,40.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,17.0
2025-09-21 16:08:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.118,5764.0,5670.0,0.0,0.0,0.0,14.7,45.7,91.3,100.0,0.9,32.25,12.04,11332.8,482.0,37254.0,4940.0,5136.0,3676.0,3785.0,3847.0,3797.0,16.7,40.2,0.0,0.0,14.0,0.0,0.0,0.0,0.0,18.0
2025-09-21 16:18:38,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.733,5756.0,5590.0,0.0,0.0,0.0,14.5,47.1,91.4,61.0,0.8,32.0,12.08,11339.54,487.0,37244.0,4948.0,5105.0,3679.0,3773.0,3872.0,3805.0,16.3,41.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,19.0
2025-09-21 16:23:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.895,5746.0,5585.0,0.0,0.0,0.0,14.3,47.7,91.4,74.0,0.7,31.75,12.08,11342.91,491.0,37239.0,4927.0,5212.0,3771.0,3862.0,3947.0,3893.0,16.2,41.7,0.0,0.0,15.0,0.0,0.0,0.0,0.0,18.0
2025-09-21 16:28:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.642,5153.0,4797.0,1.0,0.0,0.0,15.6,46.0,91.4,795.0,0.8,31.5,12.08,11345.61,494.0,37235.0,4867.0,5115.0,3641.0,3736.0,3823.0,3764.0,16.1,42.6,0.0,0.0,15.0,0.0,0.0,0.0,0.0,19.0
2025-09-21 16:33:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.731,6627.0,5640.0,0.0,0.0,0.0,16.6,43.2,91.4,117.0,0.9,32.0,12.12,11354.37,507.0,37222.0,4955.0,5139.0,3643.0,3806.0,3834.0,3800.0,16.8,42.4,0.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0
2025-09-21 16:43:37,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1863.449,5880.0,5739.0,0.0,0.0,0.0,15.2,48.1,91.4,65.0,0.8,32.5,12.08,11340.22,489.0,37243.0,4929.0,5150.0,3692.0,3782.0,3845.0,3794.0,16.9,42.3,0.0,0.0,15.0,0.0,0.0,0.0,0.0,19.0
