fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SDS198 [Material particulado PM 100 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-11-24T11:35:12,2025-11-24 11:35:12,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,30.0,29.0,35.0,18.0,-33.391315,-70.5,0.0,0.0,"30144609, 30144610, 30144611, 30144612, 30144613, 30144614, 30144615, 30144616, 30144617, 30144618, 30144619, 30144620, 30144621, 30144622, 30144623, 30144624, 30144625, 30144626"
2025-11-24T11:35:11,2025-11-24 11:35:11,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,30.0,30.0,28.0,18.0,-33.391315,-70.5,0.0,0.0,"30144585, 30144586, 30144587, 30144588, 30144589, 30144590, 30144591, 30144592, 30144593, 30144594, 30144595, 30144596, 30144597, 30144598, 30144599, 30144600, 30144601, 30144602"
2025-11-24T11:34:56,2025-11-24 11:34:56,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,19.0,29.0,28.0,28.0,18.0,-33.391315,-70.5,0.0,0.0,"30144548, 30144549, 30144550, 30144551, 30144552, 30144553, 30144554, 30144555, 30144556, 30144557, 30144558, 30144559, 30144560, 30144561, 30144562, 30144563, 30144564, 30144565"
2025-11-24T11:34:18,2025-11-24 11:34:18,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,27.0,26.0,32.0,18.0,-33.391315,-70.5,0.0,0.0,"30144524, 30144525, 30144526, 30144527, 30144528, 30144529, 30144530, 30144531, 30144532, 30144533, 30144534, 30144535, 30144536, 30144537, 30144538, 30144539, 30144540, 30144541"
2025-11-24T11:33:47,2025-11-24 11:33:47,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,29.0,29.0,39.0,18.0,-33.391315,-70.5,0.0,0.0,"30144500, 30144501, 30144502, 30144503, 30144504, 30144505, 30144506, 30144507, 30144508, 30144509, 30144510, 30144511, 30144512, 30144513, 30144514, 30144515, 30144516, 30144517"
2025-11-24T11:33:00,2025-11-24 11:33:00,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,30.0,29.0,37.0,18.0,-33.391315,-70.5,0.0,0.0,"30144429, 30144430, 30144431, 30144432, 30144433, 30144434, 30144435, 30144436, 30144437, 30144438, 30144439, 30144440, 30144441, 30144442, 30144443, 30144444, 30144445, 30144446"
2025-11-24T11:32:56,2025-11-24 11:32:56,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,16.0,29.0,28.0,36.0,18.0,-33.391315,-70.5,0.0,0.0,"30144411, 30144412, 30144413, 30144414, 30144415, 30144416, 30144417, 30144418, 30144419, 30144420, 30144421, 30144422, 30144423, 30144424, 30144425, 30144426, 30144427, 30144428"
2025-11-24T11:32:38,2025-11-24 11:32:38,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,27.0,27.0,30.0,18.0,-33.391315,-70.5,0.0,0.0,"30144393, 30144394, 30144395, 30144396, 30144397, 30144398, 30144399, 30144400, 30144401, 30144402, 30144403, 30144404, 30144405, 30144406, 30144407, 30144408, 30144409, 30144410"
2025-11-24T11:32:33,2025-11-24 11:32:33,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,17.0,26.0,26.0,30.0,18.0,-33.391315,-70.5,0.0,0.0,"30144375, 30144376, 30144377, 30144378, 30144379, 30144380, 30144381, 30144382, 30144383, 30144384, 30144385, 30144386, 30144387, 30144388, 30144389, 30144390, 30144391, 30144392"
2025-11-24T11:32:06,2025-11-24 11:32:06,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,29.0,29.0,29.0,18.0,-33.391315,-70.5,0.0,0.0,"30144350, 30144351, 30144352, 30144353, 30144354, 30144355, 30144356, 30144357, 30144358, 30144359, 30144360, 30144361, 30144362, 30144363, 30144364, 30144365, 30144366, 30144367"
